"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal Rural de Pernambuco","HST","22639","Pterygota brasiliensis","","Malvaceae","Pterygota","brasiliensis","","Allemão","P.C.G. Celestino, H.C.Gomes",2019,"","6","","P.C.G. Celestino; (ind. 45)",2019,1,10,"Brazil","Pernambuco","Recife","Av. Marechal Mascarenhas de Moraes, extremidade Norte da Praça Ministro Salgado Filho.",,,"Árvore ca. 8 m alt.; caule acinzentado com estrias avermelhadas; frutos e sementes amarronzados (dados da dissertação do coletor PPGCF/UFRPE).","Pterygota brasiliensis Allemão","",,"GBIF"
"","JBRJ","RB","RB01401371","Pterygota brasiliensis","","Malvaceae","Pterygota","brasiliensis","","Allemão","J.R. Mattos e M. Nadruz",,"","621","","J.R. Mattos; M. Nadruz, F.R. Silva & R. Matheus",2018,12,,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro. Canteiro 24B",,,"Ramos cilíndricos e pilosos, folhas pilosas, esverdeadas a avermelhadas. Flores com cálice esverdeados e piloso na parte externa e esverdeados com listras avermelhadas na parte interna. Fruto seco, deiscente amarronzado.  RBv 4998. RBcarpo 8710","Pterygota brasiliensis Allemão","",,"GBIF"
"","JBRJ","RB","RB01152289","Pterygota brasiliensis","","Malvaceae","Pterygota","brasiliensis","","Allemão","J.R.Mattos e M. Nadruz",,"","420","","J.R.Mattos; M.Nadruz",2016,7,,"Brazil","Rio de Janeiro","Rio de Janeiro","Canteiro 24B, JBRJ  Tombo: 4995  Jardim Botânico do Rio de Janeiro",,,"Ramos cilíndricos e pilosos e tronco liso. Folhas alternas, sem presença de estípulas, de pecíolo piloso, lâmina foliar simples elíptica com margem inteira. Flor com pétalas esverdeadas externamente e arroxeadas internamente, órgãos reprodutivos masculinos formando um tubo com estames unidos do centro ao ápice.","Pterygota brasiliensis Allemão","",,"GBIF"
"","JBRJ","RB","RB01153311","Pterygota brasiliensis","","Malvaceae","Pterygota","brasiliensis","","Allemão","H.C. de Lima",,"","8291","","Haroldo C. de Lima; M.T. Nascimento, M.A. Faitanin, I.S. Broggio e W.H. Macedo",2016,7,12,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Imburi, Fazenda Imburi.",-21.3275,-41.099722,"Árvore com 18 metros de alturat. Tronco com casca lisa e alvacenta, DAP ca. 50 + 60 cm. Frutos passados no chão. Frequente nos fragmentos de mata de tabuleiro da região. Fotos HCL. RBcarpo 7939","Pterygota brasiliensis Allemão","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","151307","Pterygota brasiliensis","","Malvaceae","Pterygota","brasiliensis","","Allemão","Daneu, L. & Andrino, C. O.",,"","188","","Nogueira, M.G.C.",2014,7,30,"Brazil","Bahia","Medeiros Neto","Conglomerado BA_1415-2-3-1",-17.279722,-40.319722,"<ll>dwc_commonname:</ll>","Pterygota brasiliensis Allemão","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","121348","Pterygota brasiliensis","","Malvaceae","Pterygota","brasiliensis","","Allemão","Guedes, ML",2018,"","1566","","Gomes, FS",2013,5,18,"Brazil","Bahia","Mascote",,-15.775,-39.503611,"Material estéril. 46.2, parcela 04.","Pterygota brasiliensis Allemão","",,"GBIF"
"","UFPE","UFP","75173","Pterygota brasiliensis","","Malvaceae","Pterygota","brasiliensis","","Allemão","Coutinho, D.J.G.",2013,"","01","","Barbosa, M.O.; Muniz, L.R.",2013,8,31,"Brazil","Pernambuco","Recife","Praça de Casa Forte, Próximo ao posto policial.",-9.945556,-35.093056,"Árvore, folhas simples, material fértil, flores marrons.","Pterygota brasiliensis Allemão","",,"GBIF"
"","UFES","VIES","22582","Pterygota brasiliensis","","Malvaceae","Pterygota","brasiliensis","","Allemão","Gomes, J.M.L.",2011,"","3755","","Gomes, J.M.L.",2011,4,23,"Brazil","Espírito Santo","Linhares","Flona de Goytacazes.",,,,"Pterygota brasiliensis Allemão","",,"GBIF"
"","UFES","VIES","41019","Pterygota brasiliensis","","Malvaceae","Pterygota","brasiliensis","","Allemão",,,"","3804","","Gomes, J. M. L.; Mareto, F.",2009,12,15,"Brazil","Minas Gerais","Nanuque",,,,,"Pterygota brasiliensis Allemão","",,"GBIF"
"","MBML","MBML-HERBARIO","34785","Pterygota brasiliensis","","Malvaceae","Pterygota","brasiliensis","","Allemão","L. Kollmann/05-04-2008",,"","10786","","L. Kollmann; L. Magnago, M. Simonelli & G. Correa",2008,4,5,"Brazil","Espírito Santo","Cachoeiro de Itapemirim","Pacotuba, terreno do Calegario",-20.750556,-41.235556,"Árvore 14m. Frutos marrons.","Pterygota brasiliensis Allemão","",,"GBIF"
"","MBML","MBML-HERBARIO","41773","Pterygota brasiliensis","","Malvaceae","Pterygota","brasiliensis","","Allemão",,,"","1672","","A. M. Assis; L. F. S. Magnago",2008,5,15,"Brazil","Espírito Santo","Itarana","Estrada Itarana x Joatuba.",-19.846889,-40.907278,"Árvore 10 m. DAP 30 cm. Frutos marrons. Isolada na beira da estrada.","Pterygota brasiliensis Allemão","",,"GBIF"
