"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MBML","MBML-HERBARIO","50171","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral",,,"","65","","A.D. Ferreira; P.J. Coelho",2014,7,25,"Brazil","Espírito Santo","Santa Teresa","RPPN Vale do Sol, Floresta Ombrófila Densa, borda da mata, ao lado do cafezal",,,"Arvoreta com 5m, caule com ""odor oleoso""","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","IF","SPSF","47432","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","F.A.R.D.P.Arzolla",2013,"","1605","","F.A.R.D.P.Arzolla & C.Moura & F.E.S.P.Vilela & N.M.Ivanauskas & A.A. de Oliveira",2013,2,20,"Brazil","Sp","Iporanga","Erva de Bicho",-24.546111,-48.743611,"COLETA: Árvore com frutos maduros.; GEOGRAFIA: Floresta Ombrófila Densa Montana.;","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFPB","JPB","50750","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral",,,"","3278","","Gadelha Neto, PC; Pereira, LA",2012,4,19,"Brazil","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda",-6.502222,-34.976944,"; HABITAT: Mata de Restinga; DESC: Substrato arenoso. Árvore com cerca de 4m. Ramos quadrangulares. Folhas simples, glabras, cartáceas. Inflorescência fasciculada. Fruto cápsula, bivalvar.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","USP","SPF","207842","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Anônimo",,"","3278","","Gadelha-Neto, PC",2012,4,19,"Brazil","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda.",-6.502222,-34.976944,"Substrato arenoso. Árvore com cerca de 4m. Ramos quadrangulares. Folhas simples, glabras, cartáceas. Inflorescência fasciculada. Fruto cápsula, bivalvar.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","JBRJ","RB","RB00748098","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral",,,"","3278","","P.C. Gadelha Neto; L.A. Pereira",2012,4,19,"Brazil","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltds.",-6.502222,-34.976944,,"Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","W","Herbarium W","2013-0005292","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","P. C. Gadelha Neto & L. A. Pereira",,"",,"","Gadelha Neto,P.C. & Pereira,L.A.",2012,4,19,"Brazil",,,"Brasil, Paraíba, Mataraca, Millenium Inorganic Chemicals Minerção Ltda, Mata de Restinga, 06°30'08""S, 34°58'37""W.",-6.50222,-34.97694,,"Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","NY","NY","1738360","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral",,,"","3278","","P. da C. Gadelha Neto",2012,4,19,"Brazil","Paraíba",,"Mataraca. Millennium Inorganic Chemicals Mineração Ltda.",-6.5022,-34.9769,,"Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UNISANTA","HUSC","10668","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral",,,"","13","","Galvão, A.; Olmos, A.",2012,11,5,"Brazil","São Paulo","Santos","Jardim Botânico Municipal de Santos Chico Mendes.",,,,"Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","IF","SPSF","47240","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","F.A.R.D.P.Arzolla",2012,"","1579","","F.A.R.D.P.Arzolla & F.E.S.P.Vilela & C. de Moura & N.M.Ivanauskas",2012,12,19,"Brazil","Sp","Guapiara",,-24.276944,-48.554444,"COLETA: Árvore com frutos.; GEOGRAFIA: Floresta Ombrófila Densa Montana.;","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFPB","JPB","45958","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Gadelha Neto, PC",2011,"","675","","Pontes, RA; Pereira, LA; Duré, RC",2011,1,12,"Brazil","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda, Área de reserva legal, na borda da mata.",-6.516389,-34.973333,"; DESC: Arbusto ca. De 2m alt. Folhas coriáceas, verdes acinzentadas. Frutos marrons, maturos.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","54583","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Mello, A.S.",,"","606","","Mello, A.S.",2011,10,19,"Brazil","Santa Catarina","São Francisco do Sul",,,,"arvoreta 1,3 m, fruto presente, semente com arilo avermelhado","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UNISANTA","HUSC","10832","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Boldrin, A.H.L.",2010,"","466","","Boldrin, A.H.L.; Ignácio, A.; Alves, G.S.;",2010,3,2,"Brazil","São Paulo","Santos","Sitio Sandi.",,,"Árvore de 4,5m crescendo no interior da restinga.; Restinga.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFPB","JPB","41369","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral",,,"","2558","","Gadelha Neto, PC; Lourenço, AR; Silva, CS; Costa, RMT; Duré, RC",2009,3,25,"Brazil","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda",-6.495833,-34.980833,"; HABITAT: Mata de Restinga; DESC: Substrato areno-argiloso. Árvore com cerca de 5m de ramos quadrangulares. Folhas simples, cartáceas. Fruto cápsula bivalvar.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFPB","JPB","41380","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral",,,"","2583","","Gadelha Neto, PC; Lima, JR; Silva, CS; Paiva, YG",2009,4,30,"Brazil","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda",-6.495833,-34.980833,"; HABITAT: Mata de Restinga; DESC: Substrato areno-argiloso. Árvore com cerca de 5m de ramos quadrangulares. Folhas simples, cartáceas. Fruto cápsula bivalvar.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","JBRJ","RB","RB00557469","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","L. Biral",,"","2758","","M.G. Bovini; L.C.Giordano, L.S.Filho et F.Silva",2009,4,1,"Brazil","Rio de Janeiro","Paraty","Ponta Negra, morro dos Antigos, trilha em direção ao Pico. 40-450msm. APA-CAIRUÇU.",,,"Árvore ca. 10m, heliófila em margem de rio. Folhas cartáceas levemente concolores. Flores com pétalas alvas e frutos maduros marrons. Material em DNA.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UNISANTA","HUSC","10831","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Boldrin, A.H.L.",2010,"","495","","Boldrin, A.H.L.; Ignácio, A.; Alves, G.S.; Furtado, S.A.",2009,7,1,"Brazil","São Paulo","Santos","Sitio Sandi.",,,"Árvore de 4m crescendo no interior de restinga.; Restinga.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFPB","JPB","41081","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral",,,"","2481","","Gadelha Neto, PC; Barbosa, MR; Thomas, WW; Lima, JR; Galdino, YP; Neves, MA; Smith, N; Silva, CS",2008,11,5,"Brazil","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda",-6.495833,-34.980833,"; HABITAT: Mata de Restinga; DESC: Substrato arenoso. Árvore de ramos quadrangulares. Folhas simples, cartáceas, pecioladas. Inflorescência em fascículo axilar. Fruto cápsula orbicular, bivalvar.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UNISANTA","HUSC","8512","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Nakasato, M.V.",2007,"","65","","Scolari, G.O.; Nakasato, M.V.",2007,4,14,"Brazil","São Paulo","Peruíbe","Trecho de Floresta alta de restinga.",,,"Árvore com 4,86m de altura.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UNICAMP","UEC","155697","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Santos, LB",2010,"","2322","","Zipparro, VB; Luize, BG",2007,12,15,"Brazil","São Paulo","Ubatuba","Parque estadual da Ilha Anchieta, Trilha do Sul, próximo à Parcela H.",-23.516667,-45.033333,"Árvore com ca. de 6,5m de altura, presença de botões e flores creme.; Ambiente sombreado.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","51946","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Biral, L.",,"","2331","","Ziparro, V.B.",2007,12,16,"Brazil","São Paulo","Ubatuba","Parque Estadual da Ilha Anchieta",,,"Arvoreta com ca. De 2m de alt. Presença de botões e flores","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","51945","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Biral, L.",2010,"","2322","","Ziparro, V.B.",2007,12,15,"Brazil","São Paulo","Ubatuba","Parque Estadual da Ilha Anchieta",,,"Árvore com ca. De 6,5 m de alt. Presença de botões e flores creme","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFV","VIC","44053","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral",,,"","s.n.","","Zipparro, V. .B.; Luize, B. .G.",2007,12,15,"Brazil","São Paulo","Ubatuba","Parque Estadual da Ilha Anchieta",-23,-45,"Trilha do Sul, próximo à parcela H. Ambiente sombreado. Árvore com cerca de 6 metros de altura. Presença de botões e flores creme.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","123092","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Biral, L.",2013,"","2322","","Zipparro, V.B. ; Luize, B.G.",2007,12,15,"Brazil","São Paulo","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA).",,,,"Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","123095","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Biral, L.",2013,"","2331","","Zipparro, V.B. ; Luize, B.G.",2007,12,16,"Brazil","São Paulo","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA).",,,,"Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","USP","SPF","144162","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Biral dos Santos, L",2012,"","563","","Fiaschi, P",2001,1,20,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleo Picinguaba. Praia da Fazenda.",,,,"Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","USP","SPF","144393","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Biral dos Santos, L",2012,"","564","","Fiaschi, P",2001,1,20,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Npucleo Picinguaba. Praia da Fazenda.",,,,"Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","IF","SPSF","27786","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral",,,"","979","","J.A.Pastore & C.Moura",2001,2,16,"Brazil","Sp","São Vicente","P.E.Xixova-Japui, Paranapua",,,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: em barranco frente ao mar&nf;;","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UNICAMP","UEC","121711","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","; Bernhardt, P",,"","2231","","Farah, FT; Aguiar, S; Breier, TB; Rodrigues, RR; Souza, VC; Tamashiro, JY",2001,4,13,"Brazil","São Paulo","São Paulo","Parque Estadual Serra do Mar, Núcleo Curucutu.",-23.983333,-46.775278,"Arbusto,futos vermelhos.; Floresta ribeirinha aoogo do Rio Mambu.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","JBRJ","RB","RB00953189","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","R. Bernhardt et al",,"","2231","","F.T. Farah; et al",2001,4,13,"Brazil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu.",-23.988889,-46.775278,"Arbusto, frutos vermelhos","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UNISANTA","HUSC","2354","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Martins, S.E.",2001,"","636","","Martins, S.E.; Sampaio, P.S.P.",2000,2,3,"Brazil","São Paulo","Bertioga","Praia do Itaguaré.",,,"Arbusto com 2m de altura. Flores creme-esverdeadas.; Floresta de Restinga Seca Baixa.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","96572","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Biral, L.",2011,"","636","","Martins, S.E. Sampaio,P.S.P",2000,2,3,"Brazil","São Paulo","Bertioga",,,,,"Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","JBRJ","RB","RB00451432","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","L. Biral",,"","4060","","C. Farney; J.C.Gomes",2000,4,14,"Brazil","Rio de Janeiro","Arraial do Cabo","Ilha de Cabo Frio. Maramutá, trilha para o Farol. Mata de encosta na Vertente N.",,,"Arvoreta; 5 m; folhas verdes discolores; frutos imaturos verdes.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFPR","UPCB","43715","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Groppo, M.",2009,"","1424","","Kozera, C.",2000,6,19,"Brazil","Paraná","Paranaguá","Estação Ecológica do Guaraguaçu",,,"Árvore ca. 3,0m..","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UNISANTA","HUSC","3439","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Martins, S.E.",2001,"","727","","Martins, S.E.; Sampaio, P.S.P.",2000,8,22,"Brazil","São Paulo","Bertioga","São Lourenço, Rod. Sp-55, km 211,5. Fazenda da Família Pinto.",,,"Arvoreta com 4m de altura. Frutos amarelados e semente com arilo alvo.; Área de várzea em Floresta de Restinga Paludosa sobre susbstrato Turfoso Alta.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","IF","SPSF","24533","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","L.Biral",2012,"","9","","M.R.Gorenstein",1999,1,5,"Brazil","Sp","Pariquera-Açú","Parque Estadual Pariquera Abaixo",-24.666667,-47.8,"COLETA: XLS: SPSFAntigo&nf;Arbusto 5m altura; botões esverdeados.; GEOGRAFIA: floresta ombrofila densa&nf;;","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","IF","SPSF","25210","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","L.Biral",2012,"","139","","M.Sztutman & M.C.C.Brito & C.H.G.Cezare & J.D.Santos & M.J.C.Santos & A.P.Felipim",1999,1,7,"Brazil","Sp","Pariquera Açu","P.E.Pariquera Abaixo",-24.666667,-47.783333,"COLETA: XLS: SPSFAntigo&nf;Floresta de ""caxeta""&nf;Arvoreta; GEOGRAFIA: floresta Ombrofila densa&nf;;","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UNICAMP","UEC","107885","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Biral, L",2012,"","139","","Sztutman, M; Brito, MC; Cezare, CHG; Santos, JD; Santos, AP; Felipim, MJC",1999,1,7,"Brazil","São Paulo","Pariquera-Açu","Parque Estadual do Pariquera - Abaixo, Acessado pela rodovia Pariquera-Iguape, no sítio do Sr Dário, no lado suldo PEPA, na margem do Ribeirão (condições aluvial).",,,"Arvoreta.; Floresta Ombrófila Densa. Floresta de Caxeta.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UNISANTA","HUSC","1571","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Okano, R.M.C.",1999,"","169","","Sampaio, P.S.P.; Martins, S.M.; Magenta, M.A.G.; Anunciação, E.A.; Lima, E.S.",1999,1,14,"Brazil","São Paulo","Bertioga","Praia do Itaguaré.",,,"Arvoreta, 2m de altura. Corola creme.; Sub-bosque. Floresta de Restinga baixa.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","JBRJ","RB","RB01217090","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Equipe da Disciplina de Taxonomia de Campo",,"","139","","M. Sztutman; et al",1999,1,7,"Brazil","São Paulo","Pariquera-Açu","Parque Estadual de Pariquera-Abaixo (PEPA)",-24.666667,-47.783333,,"Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","76532","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","alunos da disciplina de taxonomia de Campo",,"","139","","Sztutman, M. et al.",1999,1,7,"Brazil","São Paulo","Pariquera-Açu",,,,,"Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","76838","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Biral, L.",2013,"","139","","Sztutman, M. et al.",1999,1,7,"Brazil","São Paulo","Pariquera-açu",,,,,"Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFPR","UPCB","48838","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Biral, L.",2014,"","6670","","Cervi, A.C.",1999,3,23,"Brazil","Santa Catarina","Itapema","Praia do Mar Grosso",,,"Arvoreta ca. 4m, frutos verdes. Alt.: 10m s.n.m..","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFPR","UPCB","40145","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Groppo, M.",2009,"","327","","Borgo, M.",1998,12,19,"Brazil","Paraná","Guaratuba","Rio dos Meros",,,"Árvore de flores creme, em local sujeito a inundações frequentes..","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","IF","SPSF","13810","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","M.Sanchez",,"","201","","F.Pedroni & M.Sanchez",1996,1,11,"Brazil","Sp","Ubatuba","Picinguaba",-23.366667,-44.8,"COLETA: XLS: SPSFAntigo&nf;Mata de Planície. Restinga.&nf;Árvore 6,5m altura, flores.;","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","IF","SPSF","24621","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","M.Sanchez",,"","200","","F.Pedroni & M.Sanchez",1996,1,12,"Brazil","Sp","Ubatuba","Picinguaba",-23.366667,-44.8,"COLETA: XLS: SPSFAntigo&nf;Mata de Planície; Restinga.&nf;Árvore 8m altura; flores.; GEOGRAFIA: EX-UEC;","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","IF","SPSF","27793","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","M.Sanchez",,"","186","","F.Pedroni & M.Sanchez",1996,1,7,"Brazil","Sp","Ubatuba","Parque Estadual da Serra do Mar - Núcleo Picinguaba",-23.366667,-44.8,"COLETA: XLS: SPSFAntigo&nf;Mata de Planície, Restinga.&nf;Árvore 10m altura; flores.;","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UNICAMP","UEC","112656","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Biral, L",2012,"","38","","Castro, SLR",1996,1,5,"Brazil","São Paulo","Ubatuba","Picinguaba, Grade de trilhas adjacente à Estrada da Guarita (T-6-7; PO-1), Praia da Fazenda.",,,"Árvore, cerca de 4m de altura, flores amarelo-esverdeadas, frutos deiscentes, verdes quando imaturos verdes avermelhados quando madurs, sementes escuras, arilo branco.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFV","VIC","15981","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Bival, L.",2013,"","185","","Pedroni, F.; Sanchez, M.",1996,1,7,"Brazil","São Paulo","Ubatuba","Planície do Núcleo Picinguaba, Próximo ao centro de visitantes. Mata de planície.",-23.366667,-44.8,"Árvore, c.a. de 10 metros de altura, com flores. Ind. 847.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFV","VIC","15983","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Bival, L.",2013,"","187","","Pedroni, F.; Sanchez, M.",1996,1,7,"Brazil","São Paulo","Ubatuba","Planície do Núcleo Picinguaba, Próximo ao centro de visitantes. Mata de planície.",-23.366667,-44.8,"Árvore, c.a. de 9,0 metros de altura. Ind. 874.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFV","VIC","15998","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Bival, L.",2013,"","202","","Pedroni, F.; Sanchez, M.",1996,1,11,"Brazil","São Paulo","Ubatuba","Planície do Núcleo Picinguaba, Próximo ao centro de visitantes. Mata de planície.",-23.366667,-44.8,"Árvore, c.a. de 6,5 metros de altura, com flores. Ind. 3563.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFV","VIC","15984","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Bival, L.",2013,"","188","","Pedroni, F.; Sanchez, M.",1996,1,7,"Brazil","São Paulo","Ubatuba","Planície do Núcleo Picinguaba, Próximo ao centro de visitantes. Mata de planície.",-23.366667,-44.8,"Árvore, c.a. de 8,0 metros de altura, com flores. Ind. 876.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFV","VIC","15990","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Bival, L.",2013,"","194","","Pedroni, F.; Sanchez, M.",1996,1,9,"Brazil","São Paulo","Ubatuba","Planície do Núcleo Picinguaba, Próximo ao centro de visitantes. Mata de planície.",-23.366667,-44.8,"Árvore, c.a. de 7,0 metros de altura. Ind. 1328.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFV","VIC","15987","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Bival, L.",2013,"","191","","Pedroni, F.; Sanchez, M.",1996,1,7,"Brazil","São Paulo","Ubatuba","Planície do Núcleo Picinguaba, Próximo ao centro de visitantes. Mata de planície.",-23.366667,-44.8,"Árvore, c.a. de 7,0 metros de altura. Ind. 1218.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFV","VIC","15982","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Bival, L.",2013,"","186","","Pedroni, F.; Sanchez, M.",1996,1,7,"Brazil","São Paulo","Ubatuba","Planície do Núcleo Picinguaba, Próximo ao centro de visitantes. Mata de planície.",-23.366667,-44.8,"Árvore, c.a. de 10 metros de altura, com flores. Ind. 856.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFV","VIC","15985","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Bival, L.",2013,"","189","","Pedroni, F.; Sanchez, M.",1996,1,7,"Brazil","São Paulo","Ubatuba","Planície do Núcleo Picinguaba, Próximo ao centro de visitantes. Mata de planície.",-23.366667,-44.8,"Árvore, c.a. de 6,0 metros de altura. Ind. 883.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFV","VIC","15988","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Bival, L.",2013,"","192","","Pedroni, F.; Sanchez, M.",1996,1,7,"Brazil","São Paulo","Ubatuba","Planície do Núcleo Picinguaba, Próximo ao centro de visitantes. Mata de planície.",-23.366667,-44.8,"Árvore, c.a. de 7,0 metros de altura. Ind. 1219.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
"","UFV","VIC","15991","Monteverdia littoralis","","Celastraceae","Monteverdia","littoralis","","(R.M. Carvalho-Okano) Biral","Bival, L.",2013,"","195","","Pedroni, F.; Sanchez, M.",1996,1,18,"Brazil","São Paulo","Ubatuba","Planície do Núcleo Picinguaba, Próximo ao centro de visitantes. Mata de planície.",-23.366667,-44.8,"Árvore, c.a. de 7,5 metros de altura. Ind. 1390.","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","",,"GBIF"
