"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Cenargen","CEN","106890","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","J. B. Bringel",2017,"","113","","Teddy. D. R. Terra",2017,6,21,"Brazil","To","BOM JESUS DO TOCANTINS","Conglomerado: TO-213. Subunidade 2, subparcela 6, indivíduo 29.",-9.18,-47.88,"Projeto Inventário Florestal Nacional (IFN). Árvore com 10,5 m de altura e 24,3 de DAP, base reta. Frutos imaturos verdes, de forma ovalada, com dimensges de 0,2 cm X 0,3 cm, de consistência carnosa e cor interna branco. fuste ext","Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","Cenargen","CEN","106910","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","J. B. Bringel",2017,"","259","","Rômullo Quirino de Souza Ferreira",2017,6,22,"Brazil","To","MONTE DO CARMO","Conglomerado: 384. Subunidade 3, subparcela 1, indivíduo 2.",-10.62,-48.24,"Inventário Florestal Nacional (IFN). Árvore com 8,7 m de altura, e 11,7 cm de DAP, base reta. Presença de exsudato aquoso, incolor, em pouca abundância, líquido e inodoro. Fuste externo amarelo, de espessura fina, tipo lisa e col","Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","Cenargen","CEN","107201","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","L. Brauner & J. B. Bringel",2017,"","538","","Natália Rodrigues Bijos",2017,7,22,"Brazil","To","DIANOPOLIS","Conglomerado: TO-513. Subunidade 3, subparcela 5, indivíduo 4.",,,"Projeto Inventário Florestal Nacional (IFN). Árvore com 15,1cm de DAP, base reta. Fuste de casca externa grossa, do tipo rugosa e de cor cinza. Fruto imaturo com consistência externa seca.","Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","USP","SPF","220920","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","Fiaschi, P",2015,"","715","","Antar, GM",2015,1,30,"Brazil","Tocantins","Mateiros","Estação Ecológica Serra Geral do Tocantins, Caminho para o rio Verdinho.",-11.116389,-46.765306,"Arbusto ca. 2 m alt. Folhas discolores. Flores amareladas.; Cerrado sensu stricto, solo argioloso-arenoso avermelhado seco.","Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","52964","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","Fiaschi, P.",,"","1289","","Haidar, R.F.; et alii",2013,3,27,"Brazil","Tocantins","Goiatins","Bacia do Tocantins, Sub-bacia Rio Manoel Alves Pequeno.",-8.19,-47.806389,"árvore, flor bege, 4,5m altura. Folha: SB-23-Y-C. Exsudação. Flores ausentes. Solo arenoso.","Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","UNIVASF","HVASF","15639","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","R.A. Silva",2012,"","93","","N.M.P. Braga",2012,6,14,"Brazil","Bahia","Sento Sé","Povoado Alegre, margem do riacho do Alegre",,,"Arbusto ca. de 2,5m alt.. Inflorescências terminais com flores verdes. Frutos verdes.","Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","USP","SPF","205210","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","Fiaschi, P",2011,"","1298","","Araújo, D",2010,1,29,"Brazil","Bahia","Sento Sé","Serra do Campo Largo",-10.448272,-41.364856,,"Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","UNIVASF","HVASF","7301","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","P. Fiaschi",2011,"","1298","","D. Araújo",2010,1,29,"Brazil","Bahia","Umburanas","Serra do Campo Largo",,,"Árvore, ca. 5m alt. Indumento ferrugíneo. Botões verdes.","Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","UEFS","HUEFS","159511","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","P.Fiaschi",2011,"","3035","","Moraes, P.L.R.de",2010,3,14,"Brazil","Bahia","Umburanas","estrada para Boa Vista",,,,"Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","USP","SPF","203681","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","Fiaschi, P",2013,"","3687","","Pereira, BAS",2010,5,23,"Brazil","Goiás","Alto Paraíso de Goiás",,-13.955833,-47.463333,,"Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","UFPI","TEPB","28968","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi",,,"",,"","Gadelha, F",2009,3,12,"Brazil","Maranhão","Tasso Fragoso",,,,"Árvore ca 1,7 alt; caule 8,5cm de circunferência Ambiente: Cerrado","Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","UEMA","SLUI","3955","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi",,,"",,"","F.Gadelha",2009,3,12,"Brazil","Maranhão","Tasso Fragoso",,-8.475278,-45.742778,"Doação","Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","UEFS","HUEFS","148823","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi",,,"","16136","","Rodrigues, L.",2009,3,3,"Brazil","Piauí","Ribeiro Gonçalves",,,,,"Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","UEFS","HUEFS","148822","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi",,,"","16135","","Gadelha, F.",2009,3,12,"Brazil","Maranhão",,"Tasso Fragoso.",,,,"Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","16135","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","L.P.de Queiroz",2009,"","s.n.","","F.Gadelha; et al.",2009,3,12,"Brazil","Maranhão","Tasso Fragoso",,,,"Árvore ca. 1,7 m alt.; caule com 8,5 cm de circunferência.","Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","16136","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","L.P.de Queiroz",2009,"","s.n.","","L. Rodrigues; et al.",2009,3,3,"Brazil","Piauí","Ribeiro Gonçalves",,,,"Árvore ca. 5,4 m alt.; caule com 29 cm de circunferência, cinza-claro; folhas digitadas com face adaxial verde-claro, abaxial verde-amarronzado, aveludado; botão floral amarelo ferrugíneo com pulverulência; indício de queimada.","Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","USP","SPF","196454","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","Fiaschi, P",2010,"","16584","","Martinelli, G",2009,4,18,"Brazil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros",-13.985556,-47.516667,,"Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","JBRJ","RB","RB00570260","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","P.Fiaschi",2011,"","16584","","G. Martinelli; M.A.Moraes, E.Ferrnandes",2009,4,18,"Brazil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros. Entre a guarita de Mutuca e Cruzeiro, campos rupestres.",-13.985556,-47.501667,"Arvoreta, com 4m, heliófila, saxícola; folhas verdes concolores; flores em botões ferrugíneos","Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","NY","NY","1552804","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","P. Fiaschi",2011,"","16584","","G. Martinelli",2009,4,18,"Brazil","Goiás",,"Parque Nacional da Chapada dos Veadeiros. Entre a guarita de Mutuca e Cruzeoro.",-13.96856,-47.5017,,"Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","16516","Schefflera burchellii","","Araliaceae","Schefflera","burchellii","","(Seem.) Frodin & Fiaschi","A.M.Miranda",2009,"","s.n.","","R.Silva; et al.",2009,5,15,"Brazil","Maranhão","Tasso Fragoso",,,,"Arbusto ca. 3 m alt.; caule com 15,4 cm de circunferência.","Schefflera burchellii (Seem.) Frodin & Fiaschi","",,"GBIF"
