"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFSJ","HUFSJ","9875","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","Sobral, M",2018,"","1367","","Costa, MTR; Bueno, T; Costa, AL",2018,1,27,"Brazil","Minas Gerais","São João del-Rei","Serra do Lenheiro, campo rupestre próximos às torres de transmissão.",-21.271969,-44.518361,"Arbusto 1,6 m de altura, frutos.","Daphnopsis utilis Warm.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","188974","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,,"","s.n.","","Brina, AE",2016,5,10,"Brazil","Minas Gerais","Itatiaiuçu","Propriedade Mineração Usiminas, Área do traçado da Linha de Transmissão",-20.256019,-44.735586,"Floresta Estacional Semidecidual, Mata Atlântica","Daphnopsis utilis Warm.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","188978","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,,"","s.n.","","Brina, AE",2016,5,10,"Brazil","Minas Gerais","Itatiaiuçu","Propriedade Mineração Usiminas, Área do traçado da Linha de Transmissão",-20.260325,-44.754119,"Floresta Estacional Semidecidual, Mata Atlântica","Daphnopsis utilis Warm.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","188959","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,,"","s.n.","","Brina, AE",2016,5,10,"Brazil","Minas Gerais","Itatiaiuçu","Propriedade Mineração Usiminas, Área do traçado da Linha de Transmissão",-20.277539,-44.740369,"Floresta Estacional Semidecidual, Mata Atlântica","Daphnopsis utilis Warm.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","188954","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,,"","s.n.","","Brina, AE",2016,5,10,"Brazil","Minas Gerais","Itatiaiuçu","Propriedade Mineração Usiminas, Área do traçado da Linha de Transmissão",-20.260325,-44.736211,"Floresta Estacional Semidecidual, Mata Atlântica","Daphnopsis utilis Warm.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","185643","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,2015,"","5550","","Tameirão Neto, E; Campos, RDL",2014,1,23,"Brazil","Minas Gerais","Itabira",,-19.656647,-43.319672,"Arbóreo; Floração; Flores esverdeadas, altura 8m; Floresta estacional semidecidual","Daphnopsis utilis Warm.","",,"GBIF"
"","JBRJ","RB","RB01389589","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","F. F. Souza",,"","5550","","E. Tameirão Neto; R. D. L. Campos",2014,1,23,"Brazil","Minas Gerais","Itabira",,-19.656667,-43.319722,"Flores esverdeadas","Daphnopsis utilis Warm.","",,"GBIF"
"",,,,"Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,,"",,"","R.A.F. Lima & M.C. Vaz",2014,2,1,"Brazil",,,"Brazil:Parcela permanente 10.24ha, Estacao Ecologica de Assis, Assis county, Sao Paulo State",-22.6,-50.38,,"Daphnopsis utilis Warm.","",,"GBIF"
"",,,,"Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,,"",,"","R.A.F. Lima & M.C. Vaz",2014,2,1,"Brazil",,,"Brazil:Parcela permanente 10.24ha, Estacao Ecologica de Assis, Assis county, Sao Paulo State",-22.6,-50.38,,"Daphnopsis utilis Warm.","",,"GBIF"
"","IF","SPSF","43954","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","J.A. Pastore",2010,"","1453","","F.A.R.D.P.Arzolla & F.E.S.P.Vilela & A.Z.Antunes & D.A.da Silva",2010,3,2,"Brazil","Sp","Angatuba","Estação Ecológica",-22.996389,-48.808056,"COLETA: Árvore com flores amarelas.; GEOGRAFIA: Vegetação de Cerrado.&nf;Altitude aproximada de 760 m.;","Daphnopsis utilis Warm.","",,"GBIF"
"","IF","SPSF","39709","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","L.Rossi",2008,"","671","","R.Cielo-Filho & O.T. Aguiar & J.B.Baitello",2008,3,27,"Brazil","Sp","Itapeva","Estação Ecológica",-24.076944,-49.073333,"COLETA: Árvore 7 m, frutos cor de laranja.; GEOGRAFIA: Trilha 1;","Daphnopsis utilis Warm.","",,"GBIF"
"","UEFS","HUEFS","250802","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,,"","1723","","Nascimento, F.H.F.",2008,11,,"Brazil","Bahia","Rio de Contas","Serra Itubira. Bela Vista.",-13.368889,-41.89,"Mata Atlântica ""lato sensu"". Floresta Montana.","Daphnopsis utilis Warm.","",,"GBIF"
"","UEFS","HUEFS","144526","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,,"","345","","Ferreira, J.L.",2007,2,10,"Brazil","Bahia","Palmeiras","Trilha para a Cachoeira da Fumaça.",-12.604167,-41.475,,"Daphnopsis utilis Warm.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","51438","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","N.F.O. Mota",2006,"","551","","N.F.O. Mota; D.Souza",2006,2,8,"Brazil","Minas Gerais","Carandaí","Pedra do Sino Hotel Fazenda, BR 040 Km 6; Trilha do Sauá. 20º 52'40,5""S; 43º49'01,4""W, Alt.: 1000-1200m.",,,"Arbusto em beira de estrada, frutos imaturos verdes.","Daphnopsis utilis Warm.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","102660","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","Mota, N.F.O.",2006,"","551","","N. F. O. Mota",2006,2,8,"Brazil","Minas Gerais","Carandaí",,,,,"Daphnopsis utilis Warm.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","103503","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","Mota, N.F.O.",2006,"","551","","Mota, N.F.O.",2006,2,8,"Brazil","Minas Gerais","Carandaí",,,,,"Daphnopsis utilis Warm.","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","BOTU","28162","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,,"","169","","Faraco, A.G.",2006,3,9,"Brazil","São Paulo","Bauru",,,,"Cerrado. Árvore, 5,5 m de altura.","Daphnopsis utilis Warm.","",,"GBIF"
"","UEFS","HUEFS","114240","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,,"","1413","","Cardoso, D.",2006,11,18,"Brazil","Bahia","Palmeiras","Parque Nacional da Chapada Diamantina, Morro Mãe Inácia.",-12.461389,-41.466667,"Campo rupestre.","Daphnopsis utilis Warm.","",,"GBIF"
"","UEFS","HUEFS","92627","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","A.A.Conceição",2006,"","1228","","Conceição, A.A.",2005,3,5,"Brazil","Bahia","Lençóis","Parque Nacional Chapada Diamantina. Margem do Rio Ribeirão.",-12.577778,-41.432222,,"Daphnopsis utilis Warm.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","104016","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","Lima, R.A.F.",3014,"","14955","","Medeiros, D.A.",2004,2,12,"Brazil","São Paulo","Assis",,,,,"Daphnopsis utilis Warm.","",,"GBIF"
"","USP","SPF","164820","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","Conceição, AA",2002,"","684","","Conceição, AA",2000,1,9,"Brazil","Bahia","Palmeiras",,,,,"Daphnopsis utilis Warm.","",,"GBIF"
"","UEFS","HUEFS","47766","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","D.Cardoso",2009,"","366","","Nascimento, F.H.F.",2000,4,1,"Brazil","Bahia","Rio do Pires","Pedra Lisa Campo do Cigano.",-13.261944,-41.924722,"Mata ciliar.","Daphnopsis utilis Warm.","",,"GBIF"
"","USP","SPF","141377","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","Rossi, L",2000,"","212","","Nic Lughadha, E",1999,2,22,"Brazil","Minas Gerais","São Thomé das Letras","Pico do Gavião",-21.639694,-44.932917,,"Daphnopsis utilis Warm.","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","BOTU","2959","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","Rossi, L.",1998,"","692","","Assis Camargo, P.F.",1997,10,20,"Brazil","São Paulo","Agudos",,,,"Mata mesófila semidecídua. Árvore com 7m. de altura, folhas cartáceas, caule estriado e verrugoso, flores brancas, anteras amarelo-ouro.","Daphnopsis utilis Warm.","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","BOTU","2960","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","Rossi, L.",1998,"","672","","Christianini, S.R.",1997,11,8,"Brazil","São Paulo","Agudos",,,,"Mata mesófila semidecídua. Árvore com 6m de altura, folhas cartáceas,caule estriado em placas retangulares, flores branco-esverdeadas, anteras amarelo-ouro.","Daphnopsis utilis Warm.","",,"GBIF"
"","IF","SPSF","22431","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,,"","81","","F.Chung",1997,12,12,"Brazil","Sp","Itararé","cerrado",,,"COLETA: XLS: SPSFAntigo;","Daphnopsis utilis Warm.","",,"GBIF"
"","UNICAMP","UEC","098370","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","Rossi, L",2009,"","81","","Chung, F; Matos, J; Schmidt, M; Gandara, F; Ivanauskas, NM; Vanini, A; Souza, JP",1997,12,12,"Brazil","São Paulo",,"Estrada Itararé-Capão Bonito; Rio Verde.",-24.080556,-49.205278,"Árvore de 6,0m, casca lisa/rugosa, flor verde clara.; Cerrado. Cerradão montano.","Daphnopsis utilis Warm.","",,"GBIF"
"","IAC","IAC","36747","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","L. Rossi",2009,"","81","","F. Chung et al.",1997,12,12,"Brazil","São Paulo","Itararé","estrada de Itararé a Capão Bonito e Rio Verde",-24.1125,-49.3317,"Identificação apud UEC 98370 (SpLink)!","Daphnopsis utilis Warm.","",,"GBIF"
"","USP","SPF","123929","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","Anônimo",,"","PCD3512","","Harley, RM",1996,7,8,"Brazil","Bahia","Lençóis","Serra da Chapadinha",,,,"Daphnopsis utilis Warm.","",,"GBIF"
"","MO","MO","100311412","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.","L. Rossi (SP)",1997,"","BARLEY PCD3514","","BARLEY|et al.",1996,7,8,"Brazil","Bahia",,"Serra da Chapaminha",,,,"Daphnopsis utilis Warm.","",,"GBIF"
"","UnB","UB","157723","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,,"","402","","Bridgewater, S; García, AI",1996,10,23,"Brazil","Minas Gerais","São Roque de Minas","Mata de Ciro. Casca D'Anta.",-20.316667,-46.516667,"Tree to 14m; dbh 0,16m.; Mesophytic forest. Bark brown and smooth with many longitudinaly running lenticels; slash pink/red.","Daphnopsis utilis Warm.","",,"GBIF"
"","E","E","E00161256","Daphnopsis utilis","","Thymelaeaceae","Daphnopsis","utilis","","Warm.",,,"","S402","","Ibáñez García, A. & Bridgewater, S.",1996,10,23,"Brazil",,,,,,,"Daphnopsis utilis Warm.","",,"GBIF"
