"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Tecnológica Federal do Paraná","HCF","29503","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","M.G. Caxambu",2019,"","3288","","E.L. Siqueira",2019,9,17,"Brazil","Pr","Itambé","Rancho Machadinho, vegetação ciliar do",-23.725722,-52.066833,"arvoreta ca. 2,5 m. Frutos imaturos verdes, pilosos.","Myrciaria glomerata O.Berg","",,"GBIF"
"","UTFPR","DVPR","5874","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Silva, D.R.",2018,"","674","","Rocha Filho, J.A.; Piva, J.; Machado, C.; Piva, J.; Machado, C.",2018,3,3,"Brazil","Paraná","Capitão Leonidas Marques","Futura APP da UHE Baixo Iguaçu, estrada paralela a esquerda do Rio Andrada.",-25.3045,-53.3146,,"Myrciaria glomerata O.Berg","",,"GBIF"
"","UTFPR","DVPR","5942","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Silva, D.R.",2018,"","278","","Silva, D.R.; Piva, J.; Machado, C.; Piva, J.; Machado, C.",2018,5,18,"Brazil","Paraná","Capitão Leonidas Marques","Futura área de APP da UHE Baixo Iguaçu, estrada a esquerda do Rio Andrada.",-25.3045,-53.3146,,"Myrciaria glomerata O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","125137","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg",,2016,"","288","","Coelho, J; Gandara, A; Stadnik, A",2016,6,6,"Brazil","Bahia","Salvador","Parque Zoobotânico - Ondina, trilha do auditório.",,,"ca. 1,40 m. Folhas discolores, tricomas creme, pétalas e estames alvos, botões verdes.; Área antropizada","Myrciaria glomerata O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","128957","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Faria, JEQ",2016,"","6357","","Faria, JEQ",2016,7,19,"Brazil","Minas Gerais","Caeté","Estrada de terra saindo do distrito de Roças Novas chegando no hotel Tauá.",-19.7675,-43.633889,"Cerca de 5 m de altura, caule rugoso, flores passadas; Floresta estacional semidecidual.","Myrciaria glomerata O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","129013","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Faria, JEQ",2016,"","6359","","Faria, JEQ",2016,7,19,"Brazil","Minas Gerais","Caeté","Estrada de terra saindo do distrito de Roças Novas chegando no hotel Tauá",-19.7675,-43.633889,"Cerca de 2 m de altura, caule rugoso, flores passadas e frutos imaturos verdes; Floresta estaciocional semidecidual.","Myrciaria glomerata O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","129032","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Faria, JEG",2016,"","6361","","Faria, JEQ",2016,7,19,"Brazil","Minas Gerais","Caeté","Estrada de terra saindo do distrito de Roças Novas chegando no hotel Tauá.",-19.7675,-43.633889,"ca 6 m de altura, caule lisos soltando finas placas de ritidon, frutos imaturos verdes; Floresta estacional semidecidual","Myrciaria glomerata O.Berg","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","4310","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Faria, JEQ",2016,"","6361","","Faria, JEQ",2016,7,19,"Brazil","Minas Gerais","Caeté","Estrada de terra saindo do distrito de Roças Novas chegando no hotel Tauá",-19.7675,-43.633889,,"Myrciaria glomerata O.Berg","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","4306","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Faria, JEQ",2016,"","6357","","Faria, JEQ",2016,7,19,"Brazil","Minas Gerais","Caeté","Estrada de terra saindo do distrito de Roças Novas chegando no hotel Tauá",-19.7675,-43.633889,,"Myrciaria glomerata O.Berg","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","4308","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Faria, JEQ",2016,"","6359","","Faria, JEQ",2016,7,19,"Brazil","Minas Gerais","Caeté","Estrada de terra saindo do distrito de Roças Novas chegando no hotel Tauá",-19.7675,-43.633889,,"Myrciaria glomerata O.Berg","",,"GBIF"
"","UFSJ","HUFSJ","10513","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Faria, JEQ",2016,"","6361","","Faria, JEC",2016,7,19,"Brazil","Minas Gerais","Caeté","Estrada de terra sando do distrito de Roças Novas chegando no hotel Tauá.",-19.7675,-43.633889,"Arvore ca 6m de altura, caule liso soltando finas placas de ritidoma, frutos imaturos verdes.","Myrciaria glomerata O.Berg","",,"GBIF"
"","IF","SPSF","51508","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","O.T. Aguiar",2017,"","47","","Z. Valério & J.C.Santos & J.D.Souza",2016,12,13,"Brazil","Sp","Avaré","Floresta Estadual de Avaré I",-23.083333,-48.9,"COLETA: Arbusto de 2,3m de altura. Frutos maduros alaranjados.;","Myrciaria glomerata O.Berg","",,"GBIF"
"","JBRJ","RB","RB00970083","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","M. Sobral",,"","PSACF_EX05195","","A.C. Gonçalves",2015,2,27,"Brazil","Pará","Vitória do Xingu",,-3.218889,-51.758889,,"Myrciaria glomerata O.Berg","",,"GBIF"
"","JBRJ","RB","RB00970143","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","M.SOBRAL",,"","PSACF_EX05254","","GONCALVES, A.C.",2015,2,4,"Brazil","Pará","Vitória do Xingu",,-3.215,-51.763889,,"Myrciaria glomerata O.Berg","",,"GBIF"
"","JBRJ","RB","RB01031627","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","M. Sobral",,"","PSACF_EX05424","","B.A.S.B. Martins",2015,4,13,"Brazil","Pará","Vitória do Xingu",,-3.265833,-51.764444,"Inflorescência branca, folhas simples opostas","Myrciaria glomerata O.Berg","",,"GBIF"
"","JBRJ","RB","RB01031646","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","M.SOBRAL",,"","PSACF_EX05443","","Vieira, C. R. D.",2015,4,16,"Brazil","Pará","Vitória do Xingu",,-3.220278,-51.806111,,"Myrciaria glomerata O.Berg","",,"GBIF"
"","USP","SPF","223470","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Stadnik, A",2019,"","1503","","Giaretta, A",2015,6,26,"Brazil","Rio de Janeiro","Itaperuna",,-21.336833,-41.663611,"Arbusto ca. 0,5 m alt. Flores passadas. Frequência média. Amostra em sílica.; Floresta sobre Tabuleiro. Solo argiloso.","Myrciaria glomerata O.Berg","",,"GBIF"
"","MBML","MBML-HERBARIO","50242","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","A. Giaretta/20-09-2017",,"","182","","A.D. Ferreira; P.J. Coelho",2014,9,12,"Brazil","Espírito Santo","Santa Teresa","RPPN Vale do Sol, Floresta Ombrófila Densa, trilha do lado esquerdo do cafezal, próximo ao córrego",,,"Arbusto 5m, frutos verdes e secos","Myrciaria glomerata O.Berg","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","12063","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","J. Cordeiro",2014,"",,"","B. Felix",2013,4,14,"Brazil","Pr","Primeiro de Maio","Bosque Municipal",,,"arvoreta semi-ciófila, ca. 2 m. Flores alvas.","Myrciaria glomerata O.Berg","",,"GBIF"
"","MBM","MBM","391526","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg",,,"","s.n.","","Felix, B",2013,4,14,"Brazil","Paraná","Primeiro de Maio","Bosque Municipal",,,"Arvoreta semi-ciófila, ca. 2m. Flores alvas.; Relevo: suave-ondulado. Vegetação: Floresta Estacional Semidecidual Submontana.","Myrciaria glomerata O.Berg","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","54291","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Cordeiro, J",2014,"","s.n.","","Felix, B; et al.",2013,4,14,"Brazil","Paraná","Primeiro de Maio","Bosque Municipal",,,"Arvoreta semi-ciófila ca. 2 m. Flores alvas; Relevo suave-ondulado. Floresta Estacional Submontana","Myrciaria glomerata O.Berg","",,"GBIF"
"","UFSCar","SORO","7657","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","E.H.P.Barreto",2013,"","13","","Pascalicchio, F.F.; Garcia, R.J.F.; Souza, H.B.Z.",2013,7,29,"Brazil","São Paulo","São Paulo","Parque Natural Jaceguava. Ponto Bambuzal.",,,"Árvore, 4,5m alt., 4+6 DAP, flores brancas.","Myrciaria glomerata O.Berg","",,"GBIF"
"","JBRJ","RB","RB01116561","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","A. Stadnik & M. Sobral",2019,"","872","","D.F. Silva",2013,9,11,"Brazil","Pará","Parauapebas","Bosquinho Nucleo urbano de Carajás. Rua Guamá. Coordenadas: -6,068681  / -50,063398",,,"Árvore cerca de 7 metros de altura. Flores de coar brancas, frutos prematuros.","Myrciaria glomerata O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","136807","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Sobral, M; Stadnik, A",2019,"","872","","Silva, DF",2013,9,11,"Brazil","Pará","Parauapebas","Bosquinho Núcleo Urbano de Carajás. Rua Guamá.",-6.068611,-50.063333,"cerca de 7 metros de altura. Flores de cor branca, frutos prematuros.; Área antropizada.","Myrciaria glomerata O.Berg","",,"GBIF"
"","UFSJ","HUFSJ","5742","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Faria, JEQ",2012,"","2366","","Faria, JEQ; Silva Júnior, MC; Miranda, S",2012,2,18,"Brazil","Minas Gerais","Caeté","Distrito de Roças Novas, margem da BR-381, próximo a entrda para o hotel Tauá",-19.766944,-43.633333,"Árvore ca. 5 m de altura, botões florais verdes (coletado material em sílica gel)","Myrciaria glomerata O.Berg","",,"GBIF"
"","UFSJ","HUFSJ","5744","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Faria, JEQ",2012,"","2368","","Faria, JEQ; Silva Júnior, MC; Miranda, S",2012,2,18,"Brazil","Minas Gerais","Caeté","Distrito de Roças Novas, margem da BR-381, próximo a entrda para o hotel Tauá",-19.766944,-43.633333,"Árvore ca. 5 m de altura, botões florais verdes e flores velhas (coletado material em sílica gel)","Myrciaria glomerata O.Berg","",,"GBIF"
"","UnB","UB","191516","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Faria, JEQ",2012,"","2366","","Faria, JEQ; Silva Júnior, MC; Miranda, SC; Bredt, A",2012,2,18,"Brazil","Minas Gerais","Caeté","Distrito de Roças Novas, margem da BR-381, próximo a entrda para o hotel Tauá",-19.766944,-43.633333,"Árvore ca. 5 m de altura, botões florais verdes (coletado material em sílica gel); Floresta ombrófila","Myrciaria glomerata O.Berg","",,"GBIF"
"","UnB","UB","191518","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Faria, JEQ",2012,"","2368","","Faria, JEQ; Silva Júnior, MC; Miranda, SC; Bredt, A",2012,2,18,"Brazil","Minas Gerais","Caeté","Distrito de Roças Novas, margem da BR-381, próximo a entrda para o hotel Tauá",-19.766944,-43.633333,"Árvore ca. 5 m de altura, botões florais verdes e flores velhas (coletado material em sílica gel); Floresta ombrófila","Myrciaria glomerata O.Berg","",,"GBIF"
"","JBRJ","RB","RB00846071","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","J.E.Q. Faria",,"","2366","","J.E.Q. Faria; M.C. Silva Júnior; S.C. Miranda; A. Bredt",2012,2,18,"Brazil","Minas Gerais","Caeté","Distrito de Roças Novas, margem da BR-381, próximo a entrada para o hotel Tauá.",-19.766944,-43.633333,"Árvore ca. 5m de altura, botões florais verdes","Myrciaria glomerata O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","114294","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Stadnik, A",2014,"","70","","Ferreira, PA",2011,1,,"Brazil","Bahia","Wenceslau Guimarães","Ponto 17",-13.559444,-39.710833,"Planta apresentando indumento ferrugíneo ao longo do cálice, superfície abaxial das folhas e cálice ferrugíneos. Flores apresentando anteras amarelas e filetes vináceos; Floresta ombrófila densa submontana","Myrciaria glomerata O.Berg","",,"GBIF"
"","UNISANTA","HUSC","12071","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","P.S.P Sampaio",2011,"","38","","R. Roveri; N.S. Peres",2011,1,,"Brazil","São Paulo","Guarujá","Vila da Prainha Branca.",-23.869722,-46.869722,"Nome Popular: Cabeluda. ESTUDO ETNOBOTÂNICO.; Mata Atlântica.","Myrciaria glomerata O.Berg","",,"GBIF"
"","JBRJ","RB","RB00810434","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Stadnik, A.",2019,"","01","","T. Leão; B.s. Amorim",2010,3,10,"Brazil","Pernambuco","Cabo de Santo Agostinho","Reserva Ecológia Mata do Zumbi.",-8.311389,-34.979167,"Arbusto 4m alt","Myrciaria glomerata O.Berg","",,"GBIF"
"","UEFS","HUEFS","185294","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","M.Sobral",2019,"","951","","Faria, J.E.Q.",2010,11,11,"Brazil","Minas Gerais","Itabira","Margem da estrada entre Itabira e João Monlevade.",-19.695,-43.191944,"Floresta ombrófila antropizada.","Myrciaria glomerata O.Berg","",,"GBIF"
"","UnB","UB","161937","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Souza, MC",2012,"","951","","Faria, JEQ; Proença, CEB; Villarroel, D",2010,11,11,"Brazil","Minas Gerais","Itabira","Margem da estrada entre Itabira e João Monlevade",-19.695,-43.191944,"Árvore ca. 6 m de altura, tronco liso, frutos imaturos verdes e maduro vermelho alaranjado, sésseis e axilares; Floresta ombrófila antropizada","Myrciaria glomerata O.Berg","",,"GBIF"
"","UnB","UB","161946","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Faria, JEQ",2011,"","960","","Faria, JEQ; Villarroel, D",2010,11,12,"Brazil","Minas Gerais","Caeté","margem da estrada que liga Caeté à BR-381",-19.813333,-43.66,"Árvore ca. 5 m de altura, frutos maduros vermelho alaranjado (Material para DNA); Floresta ombrófila, solo argiloso, relevo acidentado","Myrciaria glomerata O.Berg","",,"GBIF"
"","UnB","UB","161938","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Faria, JEQ",2011,"","952","","Faria, JEQ; Proença, CEB; Villarroel, D",2010,11,11,"Brazil","Minas Gerais","Itabira","Margem da estrada entre Itabira e João Monlevade",-19.695,-43.191944,"Árvore ca. 6 m de altura, tronco liso, frutos imaturos verdes e maduro vermelho alaranjado, sésseis e axilares; Floresta ombrófila antropizada","Myrciaria glomerata O.Berg","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","137405","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg",,,"","300","","Santos, MF; Serafim, H",2008,3,14,"Brazil","Minas Gerais","Itambé do Mato Dentro","APA do Parque Nacional da Serra do Cipó, Distrito de Santana do Rio Preto (Cabeça de Boi) .Serra do Cipó. Sub-bosque da mata na margem do Córrego Cipó.",-19.414444,-43.431333,"Arvoreta, 1,8m. Ramos imaturos avermelhados. Pilosidade alva. Botões florais amarelo-esverdeados. Material prensado em álcool.","Myrciaria glomerata O.Berg","",,"GBIF"
"","UEFS","HUEFS","142477","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","A.Stadnik",2019,"","73","","Dórea, M.C.",2008,3,11,"Brazil","Bahia","Maracás","Ca. De 2 km do Cruzeiro, estrada a esquerda da 1ª bifurcação.",-13.406667,-40.397778,"Mata.","Myrciaria glomerata O.Berg","",,"GBIF"
"","USP","SPF","198143","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Santos, MF",2008,"","300","","Santos, MF",2008,3,14,"Brazil","Minas Gerais","Itambé do Mato Dentro","APA Parque Nacional da Serra do Cipó",-19.414444,-43.431333,,"Myrciaria glomerata O.Berg","",,"GBIF"
"","UFV","VIC","31897","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg",,,"","1858","","Del Peloso, R.V.",2008,8,29,"Brazil","Minas Gerais","Viçosa","mata da Biologia",,,"Planta de ca 6 m, IND 1858 P 22","Myrciaria glomerata O.Berg","",,"GBIF"
"","UNICAMP","UEC","172445","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Tamashiro, JY",,"","279","","Garcia, LC",2008,9,17,"Brazil","São Paulo","Cosmópolis","Usina Ester.",-23.121389,-47.348611,"Arbusto de 3.5m., botões e flores brancas.; Mata ciliar em processo de restauração desde 1955, mata atlântica, floresta estacional semidecidua.","Myrciaria glomerata O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120956","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","Tamashiro, J.Y.",2010,"","279","","Garcia, L.C.",2008,9,17,"Brazil","São Paulo","Cosmópolis","Usina Ester, mata ciliar em processo de restauração desde 1955",-22.671759,-47.205591,"Arbusto de 3,5m, botões e flores brancas","Myrciaria glomerata O.Berg","",,"GBIF"
"","MPEG","HERBMG","MG202835","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg",,,"",,"","Silva,  L.V.C.; Sobral,  M.;  Troncoso,  C.;  Garcia,  L.",2008,10,8,"Brazil","Pará",,"Canaã dos Carajás",-6.324167,-51.208333,,"Myrciaria glomerata O.Berg","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","131108","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg",,,"","667","","Silva, LVC; Sobral, M; Troncoso, C; Garcia, L; Maciel, GM",2008,10,8,"Brazil","Pará","Parauapebas","Núcleo urbano de Carajás (praça)",-6.068611,-50.063889,"Floresta Ombrófila.","Myrciaria glomerata O.Berg","",,"GBIF"
"","BPBM","BISH","726898","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","N. Snow",2007,"",,"","OED Frohlich, D.; Lau, A.",2007,3,23,"United States of America","Hawaii",,"Frankie's Nursery",,,"Small tree, 3 meters tall.  Young shoots pubescent.  Leaves  dark green, glossy. Only immature green pubescent fruits seen.","Myrciaria glomerata O.Berg","",,"GBIF"
"","BPBM","BISH","726880","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","N. Snow",2007,"",,"","OED Frohlich, D.; Lau, A.",2007,3,23,"United States of America","Hawaii",,"Frankie's Nursery",,,"Small tree, 3 meters tall.  Young shoots pubescent.  Leaves  dark green, glossy. Only immature green pubescent fruits seen.","Myrciaria glomerata O.Berg","",,"GBIF"
"","MBML","MBML-HERBARIO","33386","Myrciaria glomerata","","Myrtaceae","Myrciaria","glomerata","","O.Berg","R. Brito, 19/02/2007",,"","1144","","M. Simonelli; F. A. R. Matos, L. F. Magnago",2007,4,21,"Brazil","Espírito Santo","Atílio Vivácqua","Serra das Torres",-21.340278,-41.209722,"Arbusto 3m de alt., Botões florais brancos/verdes","Myrciaria glomerata O.Berg","",,"GBIF"
