"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Reserva Natural Vale","CVRD","15322","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Geovane S. Siqueira",2015,"","1081","","Siqueira, G.S.",2015,7,23,"Brazil","Es","LINHARES",,-19.159278,-40.061111,"<ll>dwc_commonname:</ll> Canela veludo","Endlicheria glomerata Mez","",,"GBIF"
"","FZB-BH","BHZB","11486","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,,"","5235","","Rezende, S.G.",2015,7,29,"Brazil","Mg","Mariana","Região do distrito de Camargos",,,"Data correta 23 /10 /2015. Unicata. Doação de duplicata para Herbário RB em Abril de 2017","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB01017454","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","G.S. Siqueira",2015,"","1081","","G.S. Siqueira",2015,7,23,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada Roxinho. Coord. UTM: X: 388419 Y: 7881210.",-19.159167,-40.061111,"Terrestre; porte arbóreo, 7m, fuste 4m, CAP fuste 22cm, diâmetro copa 4m; fruto imaturo verde/cupulas rosa, fruto maduro roxo/cupulas rosa; fuste cilíndrico; exsudação seiva, incolor; descamação ausente","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB01360009","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,,"","5235","","S.G. Rezende; A.G. Justo",2015,7,29,"Brazil","Minas Gerais","Mariana","Região do distrito de Camargos 20°16´40´´ 43°21´47´´",,,,"Endlicheria glomerata Mez","",,"GBIF"
"","MO","MO","100938404","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","G. S. Siqueira",2015,"","Siqueira 1081","","G.S. Siqueira",2015,7,23,"Brazil","Espírito Santo",,"Reserva Natural Vale. Estrada: Roxinho, metros: 840.",-19.159278,-40.061111,,"Endlicheria glomerata Mez","",,"GBIF"
"","UnB","UB","214528","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Faria, JEQ",2016,"","5043","","Faria, JEQ",2015,8,20,"Brazil","Goiás","Cocalzinho de Goiás","Margem da BR-414 entre de Cocalzinho de Goiás e Dois Irmãos",-15.664722,-48.687778,"Arvoreta ca. 4 m de altura, botões florais e flores verdes; Mata seca semidecídua próximo a córrego intermitente","Endlicheria glomerata Mez","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","32013","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Faria, JEQ",2016,"","5043","","Faria, JEQ",2015,8,20,"Brazil","Goiás","Cocalzinho de Goiás","Margem da BR-414 entre de Cocalzinho de Goiás e Dois Irmãos",-15.664722,-48.687778,"Arvoreta ca. 4 m de altura, botões florais e flores verdes; Mata seca semidecídua próximo a córrego intermitente","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB01128835","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","J.E.Q. Faria",,"","5043","","J.E.Q. Faria",2015,8,20,"Brazil","Goiás","Cocalzinho de Goiás","Margem da BR-414 entre de Cacalzinho de Goiás e Dois Irmãos.",-15.664722,-48.687778,,"Endlicheria glomerata Mez","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","24636","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,,"","4961","","P.L.R. de Moraes",2015,9,12,"Brazil","Es","Linhares","Reserva Natural da Vale, estrada",,,"árvore 6 m, frutos maduros, cúpulas vermelhas.","Endlicheria glomerata Mez","",,"GBIF"
"","MBM","MBM","408282","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Moraes, PLR",,"","4961","","Moraes, PLR",2015,9,12,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, estrada Mantegueira",-19.256944,-40.061944,"Árvore 6 m, frutos maduros, cúpulas vermelhas.","Endlicheria glomerata Mez","",,"GBIF"
"","UnB","UB","215842","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Faria, JEQ",2015,"","5173","","Faria, JEQ; Soares-Silva, LH; Silva Júnior, MC",2015,10,4,"Brazil","Goiás","Cocalzinho de Goiás","Margem da BR-416 entre Cocalzinho e o povoado de Dois Irmãos",-15.664722,-48.687778,"Árvore ca. 7 m de altura, botões florais e flores verdes; Mata seca","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB01123991","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","J.E.Q. Faria",,"","5173","","J.E.Q. Faria; L.H. Soares-Silva; M.C. Silva Júnior",2015,10,4,"Brazil","Goiás","Cocalzinho de Goiás","Margem da BR-416 entre Cocalzinho e o Povoado de Dois Irmãos",-15.664722,-48.687778,"Árvore ca. 7m de altura, botões florais e flores verdes","Endlicheria glomerata Mez","",,"GBIF"
"","Reserva Natural Vale","CVRD","14995","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Geovane S. Siqueira",2014,"","982","","Siqueira, G.S.",2014,9,3,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Canela veludo","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB00897581","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","G.S. Siqueira",2014,"","982","","G.S. Siqueira",2014,9,3,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada Mantegueira.",,,"Terrestre; porte arbóreo, 5m, fuste 2m, CAP 18cm, copa 3m; botão verde, flor creme; exsudação incolor; descamação ausente","Endlicheria glomerata Mez","",,"GBIF"
"","UFES","VIES","39317","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Rocha, D.",2016,"","599","","Oliveira, A.A. de",2014,11,28,"Brazil","Espírito Santo","Linhares",,-19.44,-40.32,,"Endlicheria glomerata Mez","",,"GBIF"
"","MO","MO","100874486","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,,"","Moraes 4372","","Pedro L.R. de Moraes|H. van der Werff|Lukas Daneu",2014,12,4,"Brazil","Bahia",,"Prado. Área de Manejo Florestal, km 24 estrada Itamaraju-Prado.",,,,"Endlicheria glomerata Mez","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","30564","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Chacon, RG",2016,"","1245","","Chacon, RG; Gomes, BM; Carneiro, DC; Carvalho, F",2013,9,4,"Brazil","Minas Gerais","Paracatu","5km antes do Rio Paracatu",-17.483333,-46.616389,"Relevo plano,duplicatas; Árvore 3m de altura; Cerrado típico, recém queimado,latossolo vermelho escuro","Endlicheria glomerata Mez","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","30565","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Chacon, RG",2016,"","1246","","Chacon, RG; Gomes, BM; Carneiro, DC; Carvalho, F",2013,9,4,"Brazil","Minas Gerais","Três Marias","16km depois do Rio Paracatu",-17.613056,-46.468611,"Duplicatas; Árvore,2 m de altura; Cerradão, latossolo vermelho amarelo","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB01386840","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","A.Quinet",2013,"","523","","E.A.Ribeiro",2012,4,7,"Brazil","Rio de Janeiro","Casimiro de Abreu","Reserva Biológica União. Trilha do Buracão. Primeiro córrego após o oleoduto",-22.439444,-42.048333,,"Endlicheria glomerata Mez","",,"GBIF"
"","MO","MO","100636619","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","P. Moraes",2012,"","Moraes 3497","","Pedro L.R. de Moraes",2012,7,13,"Brazil","Minas Gerais",,"Estrada Real.",-20.234972,-43.412056,,"Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB00780815","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Alexandre Quinet",,"","821","","E.M.Saddi; Pedro Otavio Samor, Silfo Neves & Roni Chaves",2012,7,29,"Brazil","Minas Gerais","Ferros","Parcela 26 para os estudos do EIA do Mineroduto Morro do Pilar/MG - Linhares/ES.",-19.187778,-42.964444,"Árvore com cerca de 6m de altura. Folhas pilosas na face abaxial. Frutos verdes com cálice persistente avermelhado.","Endlicheria glomerata Mez","",,"GBIF"
"","IF","SPSF","47088","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","P.Moraes",2012,"","3497","","P.L.R.Moraes",2012,10,13,"Brazil","Mg","Mariana","Estrada Real",-20.234722,-43.411944,"COLETA: Arvoreta 5m, flores esverdeadas, subosque.;","Endlicheria glomerata Mez","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","59278","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Moraes, P.",2012,"","3497","","Moraes, P.L.R. de",2012,10,13,"Brazil","Minas Gerais","Mariana","Estrada Real",-20.234972,-43.412056,"Arvoreta 5 m, flores esverdeadas, subosque.","Endlicheria glomerata Mez","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","59957","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,,"","3187","","Moraes, P.L.R. de",2011,9,7,"Brazil","Espírito Santo","Linhares","Estrada Flamengo",,,"Arvoreta 4 m, remanescentes de frutos (cúpulas).","Endlicheria glomerata Mez","",,"GBIF"
"","UEFS","HUEFS","188718","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,,"","1703","","Matos, E.N.de",2011,11,29,"Brazil","Bahia","Jandaira","Abadia-Fazenda Areia Branca",-11.541944,-37.484444,"Restinga. Floresta.","Endlicheria glomerata Mez","",,"GBIF"
"","UFV","VIC","33494","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,,"","2628","","Valente, G.E.; et al.",2009,5,13,"Brazil","Minas Gerais","Dionísio","Acelor Mittal Florestas Ltda",,,"Em sub bosque fruto verde lenticelado, cálice verdmelho rosado, parcela 8 132 CAP 19,2","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB00604771","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","A. Quinet",,"","2628","","Gilmar E. Valente; Et al",2009,5,13,"Brazil","Minas Gerais","Dionísio","Acelor Mittal Florestas Ltda. Regional Dionísio/Baixa Verde.",-19.805278,-42.521389,"Planta em sub-bosque com fruto verde ""lenticelado"" e cálice vermelho-rosado.","Endlicheria glomerata Mez","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","57524","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Folli, D.A.",2009,"","6381","","Folli, D.A.",2009,7,21,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale",,,"Arbóreo, terrestre, fuste cilíndrico, casca áspera, altura total 10m, fuste 7m, cap fuste 31cm, diâmetro copa 2m. Botão verde, flor creme, seiva incolor, descamação ausente. <ll>dwc_commonname:</ll> canela veludo","Endlicheria glomerata Mez","",,"GBIF"
"","Reserva Natural Vale","CVRD","12380","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Domingos A. Folli",2009,"","6381","","Folli, D.A.",2009,7,21,"Brazil","Es","LINHARES",,-19.160247,-40.050532,"<ll>dwc_commonname:</ll> Canela veludo","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB01182570","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","HENRIQUE LAUAND RIBEIRO",,"","158","","F. Marcolino; et alli",2009,7,14,"Brazil","Minas Gerais","Fervedouro","Abaixo da Pedra do Pato.",,,,"Endlicheria glomerata Mez","",,"GBIF"
"","MO","MO","100958507","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Domingos A. Folli",2009,"","Folli 6381","","D.A. Folli",2009,7,21,"Brazil","Espírito Santo",,"Reserva Natural Vale. Aceiro Milánes.",-19.160247,-40.050532,,"Endlicheria glomerata Mez","",,"GBIF"
"","UFES","VIES","27905","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Folli, D.A.",,"","409","","Peres, A.L.S.S.",2009,8,12,"Brazil","Espírito Santo","Linhares",,,,,"Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB00861171","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,,"","28","","T. Mansur",2009,9,15,"Brazil","Minas Gerais","Joanésia","PHC Ouro Fino, Rio Santo Antônio.",-19.285,-43.333333,,"Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB00591515","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","A.Quinet",2009,"","1045","","S. de V. A. Pessoa; R.R. de oliveira, B.A.Abbas & A.T.Oliveira",2008,8,28,"Brazil","Rio de Janeiro","Silva Jardim","Reserva  Biológica  de  Poço  das  Antas,  fragmento  E,  próximo  a  represa  de  Juturnaiba,  floresta  submontana.  .",,,"Arbusto, ca. 4m. de altura, semi-umbrófilo, folhas discolores verdes, frutos recptáculo vermelho, os maturos negros os imaturos verdes.","Endlicheria glomerata Mez","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","142468","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,2008,"","379","","Santos, MF; Marques, JBC",2008,10,22,"Brazil","Minas Gerais","Itambé do Mato Dentro","Arvoreta, 4m alt, pilosidade ocre, ramos jovens avermelhados, inflorescência avermelhada, flores velhas",,,"Arvoreta, 4m alt, pilosidade ocre, ramos jovens avermelhados, inflorescência avermelhada, flores velhas","Endlicheria glomerata Mez","",,"GBIF"
"","USP","SPF","197926","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Assis, LCS",2008,"","379","","Santos, MF",2008,10,22,"Brazil","Minas Gerais","Itambé do Mato Dentro","APA Parque Nacional da Serra do Cipó, Distrito de Santana do Rio Preto (Cabeça de Boi).",-19.396361,-43.402056,,"Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB00604934","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","L. C. S. Assis",2008,"","379","","M. F. Santos; J. B. Marques",2008,10,22,"Brazil","Minas Gerais","Itambé do Mato Dentro","Distrito de Santana do Rio Preto (Cabeça de Boi). APA do Parque Nacional da Serra do Cipó. Terras de José Agostinho, interior de mata.",-19.396111,-43.401944,"Arvoreta, 4 m de altura. Pilosidade ocre. Ramos jovens avermelhados. Inflorescência avermelhada, flores velhas.","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB00604929","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","L. C. S. Assis",2008,"","379","","M. F. Santos; J. B. C. Marques",2008,10,22,"Brazil","Minas Gerais","Itambé do Mato Dentro","Distrito de Santana do Rio Preto (Cabeça de Boi). APA do Parque Nacional da Serra do Cipó. .",-19.396111,-43.401944,"Arvoreta, 4 m de altura. Pilosidade ocre. Ramos jovens avermelhados. Inflorescência avermelhada, flores velhas.","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB00582025","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","HENRIQUE LAUAND RIBEIRO",,"","1130","","A. Quinet",2007,7,13,"Brazil","Amazonas","Pauini","Floresta Nacional do Purus, vila Céu do Mapiá, estrada Km 10 em direção a vila São João, próximo a unidade de produção anual 01.",-8.308333,-67.563333,"Árvore de 4m de altura. Folhas discolores verdes, cartáceas. Flores alvas com anteras e estames róseos. Ciófila.","Endlicheria glomerata Mez","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","57521","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Folli, D.A.",2007,"","5652","","Folli, D.A.",2007,8,6,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale",,,"Arbóreo, terrestre, fuste cilíndrico, casca áspera, altura total 3m, fuste 3m, cap fuste 15cm, diâmetro copa 1m. Fruto maduro roxo, fruto imaturo verde, seiva incolor, descamação ausente. <ll>dwc_commonname:</ll> canela veludo","Endlicheria glomerata Mez","",,"GBIF"
"","UEFS","HUEFS","165170","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,,"","5652","","Folli, D.A.",2007,8,6,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada Mantegeira.",,,"Mata de Tabuleiro.","Endlicheria glomerata Mez","",,"GBIF"
"","Reserva Natural Vale","CVRD","10430","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Domingos A. Folli",2007,"","5652","","Folli, D.A.",2007,8,6,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Canela veludo","Endlicheria glomerata Mez","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","147312","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,,"","757","","Vidal, C.",2007,9,,"Brazil","Minas Gerais","Governador Valadares","Fazenda Santa Luzia. UHE Baguari",-19.57,-42.089722,"Floresta Estacional Semidecidual. Arbóreo.","Endlicheria glomerata Mez","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","57523","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Folli, D.A.",2007,"","5698","","Folli, D.A.",2007,9,27,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale",,,"Arbóreo, terrestre, fuste cilíndrico, casca áspera, altura total 10m, fuste 2m, cap fuste 21cm, diâmetro copa 1m. Botão verde, flor creme, seiva incolor, descamação ausente. <ll>dwc_commonname:</ll> canela veludo","Endlicheria glomerata Mez","",,"GBIF"
"","UEFS","HUEFS","165169","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,,"","5698","","Folli, D.A.",2007,9,27,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada Municipal Canto Grande.",,,"Mata de Tabuleiro.","Endlicheria glomerata Mez","",,"GBIF"
"","Reserva Natural Vale","CVRD","10472","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Domingos A. Folli",2007,"","5698","","Folli, D.A.",2007,9,27,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Canela veludo","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB01348260","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","L.S. Leoni",,"","6982","","L.S. Leoni",2007,9,,"Brazil","Minas Gerais","Tombos","Mata do Banco",,,,"Endlicheria glomerata Mez","",,"GBIF"
"","MO","MO","100958500","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","D.A.Folli",2007,"","Folli 5698","","D.A. Folli",2007,9,27,"Brazil","Espírito Santo",,"Réserva Natural Vale. Municipal Canto Grande.",,,,"Endlicheria glomerata Mez","",,"GBIF"
"","MBML","MBML-HERBARIO","32193","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","J. Rohwer/Set.2011",,"","3507","","H. Q. Boudet Fernandes; V. Demuner, T. A. Cruz, R. R. Vervloet",2007,10,4,"Brazil","Espírito Santo","Águia Branca","Assentamento 16 de abril",-18.903417,-40.735444,"Floresta de encosta explorada. Arbusto 3m x 3cm. Fruto verde com cálice avermelhado.","Endlicheria glomerata Mez","",,"GBIF"
"","USP","SPF","199330","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Moraes, PLR",2013,"","3507","","Boudet-Fernandes, HQ",2007,10,4,"Brazil","Espírito Santo","Águia Branca","Assentamento 16 de abril.",-18.903417,-40.735444,,"Endlicheria glomerata Mez","",,"GBIF"
"","IF","SPSF","40935","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","J.B.Baitello",2008,"","2343","","R.Tsuji",2007,11,29,"Brazil","Mg","Coluna","Córrego São Pedro",,,"COLETA: nome popular: ""canela-coco""&nf;Árvore 4,5m altura, frutos atro-purpúreos (cálice vermelho).; GEOGRAFIA: Em estrada de terra a partir de Rio Vermelho.;","Endlicheria glomerata Mez","",,"GBIF"
"","Jardim Botânico Plantarum","HPL","9502","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","L. Assis",2008,"","2343","","R. Tsuji",2007,11,29,"Brazil","Mg","Coluna","Coletado na localidade de Córrego S. Pedro, em estrada de terra a partir de Rio Vermelho.",,,,"Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB00523680","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","A. Quinet",2006,"","07","","T. H. S. S. Gomes ; A. A. M. de Barros, N. Coqueiro & J. M. Dias",2006,5,18,"Brazil","Rio de Janeiro","Rio de Janeiro","Divisa dos Municípios de Niterói e Maricá, entre Engenho do Mato e Itaipuaçu, Parque Estadual da Serra da Tiririca, Morro do Telégrafo, Trilha da Cumeeira. .",,,"Arvoreta com ca. de 4,0 m de altura, ciófila, óleo essencial na folha e caule, folhas cartáceas discolores verdes, frutos verdes com a cúpula verde-rósea.","Endlicheria glomerata Mez","",,"GBIF"
"","UFV","VIC","36137","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Siqueira, L.C. de",2007,"","315","","Siqueira, L.C. de; et al.",2006,6,28,"Brazil","Minas Gerais","Araponga","Comunidade Córrego dos Lanas, Fragmento do Senhor José Pedro de Castro; entorno do Parque Estadual Serra do Brigadeiro. Floresta Estacional Semidecidual.",,,"Árvore, c.a. de 4,0 metros de altura; face abaxial da folha pílosa; fruto verde com cálice vermelho persistente; coletada na trilha do pastinho.","Endlicheria glomerata Mez","",,"GBIF"
"","MBML","MBML-HERBARIO","26991","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","T.D.M. Barbosa/18-VII-2007",,"","2404","","V. Demuner; L.F.S Magnago, T. Cruz e Elias Bausen",2006,6,6,"Brazil","Espírito Santo","Águia Branca","Águas Claras, Escola Agroecológica",-18.890278,-40.825833,"Arvoreta 5m, frutos verdes. Interior de mata, beira de riacho.","Endlicheria glomerata Mez","",,"GBIF"
"","USP","SPF","176602","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Assis, LCS",2006,"","1160","","Assis, LCS",2006,7,4,"Brazil","Minas Gerais","Faria Lemos","Fazenda Santa Rita, Picada do Córrego.",-20.755667,-42.056028,,"Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB01166070","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","L.S. Leoni",,"","6530","","L.S. Leoni; USP",2006,7,4,"Brazil","Minas Gerais","Faria Lemos","Fazenda Santa Rita.",,,,"Endlicheria glomerata Mez","",,"GBIF"
"","MBML","MBML-HERBARIO","27976","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","T.D.M. Barbosa/18-VII-2007",,"","1165","","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen",2006,8,3,"Brazil","Espírito Santo","Santa Leopoldina","Pedra Branca, Mata na Serra Santa Lucia, propr.: Cristiano Bremencampi.",-20.028889,-40.497222,"Arvoreta 5m de alt. Botões florais brancos. Mata.","Endlicheria glomerata Mez","",,"GBIF"
"","MBML","MBML-HERBARIO","32723","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","T.D.M. Barbosa/17-XI-2008",,"","1291","","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen",2006,9,5,"Brazil","Espírito Santo","Águia Branca","Aguas Claras, Escola Agroecológica.",-18.890278,-40.825833,"Arvoreta 6m de alt. Frutos verdes botões florais brancos. Mata beira do córrego.","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB00589777","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Geovani S. Siqueira",,"","1291","","L.F.S. Magnago; V. Demuner, T. Cruz & Elias Bausen",2006,9,5,"Brazil","Espírito Santo","Águia Branca","Águas Claras Escola Agroecológica.",-18.892222,-40.73,"Arvoreta com 6 metros de altura. Frutos verdes botões florais brancos.","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB00523682","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Ana Angélica M. de Barros",,"","2413","","A. A. M. de Barros ; J. E. Meireles & R. D. Ribeiro",2005,1,22,"Brazil","Rio de Janeiro","Niterói","Engenho do Mato, Parque Estadual da Serra da Tiririca, Morro do Telégrafo, Trilha da Barreira. .",,,"Arvoreta com ca. de 4,0 m de altura, ciófila, folhas cartáceas discolores verdes, frutos imaturos verdes.","Endlicheria glomerata Mez","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","97539","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,,"","3861","","Tameirão Neto, E",2005,4,14,"Brazil","Minas Gerais","Bela Vista de Minas","Rio Santa Bárbara.",,,"Floresta ciliar, arbóreo.","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB00423000","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","A. Quinet",2006,"","808","","J. Wesenberg JW",2005,7,29,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, vale do Beija - Flor. Parque Nacional da Serra dos Órgãos",-22.454167,-43,"Árvore, DAP 8,1 cm, altura ca. 10 m","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB00419941","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","A. Quinet",,"","193","","F. C. Netteshein",2005,8,7,"Brazil","Rio de Janeiro","Mangaratiba","Ilha da Marambaia, Ponta do Varejo.",,,"Árvore de aproximadamente 6,5 m de altura, com restos de frutos, e muitos tricomas nas folhas e caule.","Endlicheria glomerata Mez","",,"GBIF"
"","JBRJ","RB","RB01166062","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","L.S. Leoni",,"","5810","","L.S. Leoni",2004,6,16,"Brazil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado",,,,"Endlicheria glomerata Mez","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","57522","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","van der Werff, H.",2005,"","4926","","Folli, D.A.",2004,9,14,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale",,,"Arbóreo, terrestre, fuste cilíndrico, casca áspera, altura total 6m, fuste 4m, cap fuste 21cm, diâmetro copa 2m. Botão verde lclaro, flor verde claro, seiva incolor, descamação ausente. <ll>dwc_commonname:</ll> canela veludo","Endlicheria glomerata Mez","",,"GBIF"
"","UEFS","HUEFS","165171","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez",,,"","4926","","Folli, D.A.",2004,9,14,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Aceiro Catelã João Pedro.",,,"Mata de Tabuleiro.","Endlicheria glomerata Mez","",,"GBIF"
"","Reserva Natural Vale","CVRD","8878","Endlicheria glomerata","","Lauraceae","Endlicheria","glomerata","","Mez","Henk van der Werff",2005,"","4926","","Folli, D.A.",2004,9,14,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Canela veludo","Endlicheria glomerata Mez","",,"GBIF"
