"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","234650","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R.F.Santos",,"","47","","Santos, R.F.",2016,2,12,"Brazil","Rio de Janeiro","Itatiaia","Parna Itatiaia. Estrada para a cachoeira do Maromba, próximo a entrada para a cachoeira Véu da Noiva.",-22.428889,-44.619167,"Floresta Ombrófila Densa. Borda de mata.","Croton vulnerarius Baill.","",,"GBIF"
"","UEFS","HUEFS","234656","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","M.B.R.Caruzo",,"","185","","Caruzo, M.B.R.",2016,2,11,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, estrada para a piscina do Maromba.",-22.445556,-44.611389,"Floresta ombrófila.","Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB01376723","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R.F. Santos",,"","47","","R.F. Santos; et al.",2016,2,12,"Brazil","Rio de Janeiro","Itatiaia","Estrada para a cachoeira do Maromba, próximo a entrada para a cachoeira véu da noiva.",-22.428889,-44.618889,,"Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB01376664","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R.F. Santos",,"","55","","R.F. Santos; et al.",2016,2,13,"Brazil","Rio de Janeiro","Resende","BR 354 Sentido Itamonte - MG.",-22.393611,-44.755833,,"Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB01376733","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","M.B.R. Caruzo",,"","185","","M.B.R. Caruzo; et al.",2016,2,11,"Brazil","Rio de Janeiro","Itatiaia","Estrada para a piscina do Maromba.",-22.445278,-44.611389,,"Croton vulnerarius Baill.","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","28097","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R.F. Santos",,"","55","","R.F. Santos",2016,2,13,"Brazil","Rj","Resende","BR-354 sentido Itamonte-MG. Beira da",-22.393806,-44.756056,"árvore ca. 6 m. Látex caramelo. Flores femininas com estiletes alvos e sépalas verdes e pátalas alvas. Frutos jovens verde-claros. População abundante.","Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB00939032","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R.F. Santos",,"","38338","","V.C. Souza",2014,5,24,"Brazil","São Paulo","Bom Sucesso de Itararé","Estrada vicinal Itapeva-Bonsucesso de Itararé, Km 17.",,,"Arbusto a árvore, até 6 metros de altura, flores creme.","Croton vulnerarius Baill.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","130531","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Souza, V.C.",2013,"","35734","","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.",2013,2,20,"Brazil","São Paulo","Guarulhos","Fragmento 15 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-23.3814,-46.3872,,"Croton vulnerarius Baill.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","130532","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Souza, V.C.",2013,"","35735","","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.",2013,2,21,"Brazil","São Paulo","Santa Isabel","Fragmento 18 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-23.3528,-46.2143,,"Croton vulnerarius Baill.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","130529","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Souza, V.C.",2013,"","35732","","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.",2013,2,19,"Brazil","São Paulo","Itupeva","Fragmento 4 (TAV). Floresta Estacional Semidecidual",-23.075,-47.0586,"Fruto castanho esverdeado.","Croton vulnerarius Baill.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","130515","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Souza, V.C.",2013,"","35718","","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.",2013,4,15,"Brazil","São Paulo","Guaratinguetá","Fragmento 34 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-22.7718,-45.2296,"Botões e flores esverdeados. Tr verde.","Croton vulnerarius Baill.","",,"GBIF"
"","IF","SPSF","45597","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","A.P.Noronha",2015,"","66","","K.Spaolonzi & G.C.R.Turatti",2011,9,28,"Brazil","Sp","São Paulo","Parque Estadual das Fontes do Ipiranga",-23.65,-46.633333,"COLETA: Altura de 3,5m e DAP=4,13cm;","Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB01220323","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","L.J.S. Pinto",,"","1481","","L.J.S. Pinto; M.C.F. dos Santos; B.N.F da Silva & F.L. Penha",2010,8,2,"Brazil","Rio de Janeiro","Engenheiro Paulo de Frontin","Morro Azul. Instituto Zoobotânico de Morro, estrada do Pau de Ferro, sítio do Sérgio.   Parque Nacional da Serra da Canastra.",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","Instituto de Botânica","SP","426961","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Cordeiro, I",2011,"","2355","","Shirasuna, RT",2009,5,4,"Brazil","São Paulo","Mauá","Lote 1 Rodoanel Mário Covas, Trecho Sul",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","UNICAMP","UEC","151705","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, MBR",2012,"","795","","Silva, JS; Silveira, MF; Galvão, JC",2009,7,9,"Brazil","São Paulo","São José do Barreiro","Parque Nacional da Serra da Canastra., Serra da Casca D' Anta, Mata de galeria. Solo pedregoso.",-20.039194,-46.053917,"Arvoreta com 3m de altura.Sépalas pistiladas ferrugíneas, sépals creme e estames marrom.Tricomas ferrugíneas.","Croton vulnerarius Baill.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","133539","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R. F. Santos",,"","758","","S. J. Silva Neto",2008,4,4,"Brazil","Rio de Janeiro","ITATIAIA","Parque Nacional de Itatiaia. Estrad apara o Pico das Agulhas negras.",-22.466667,-44.75,,"Croton vulnerarius Baill.","",,"GBIF"
"","MBML","MBML-HERBARIO","35656","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","M.B.R. Caruzo/29-09-2016",,"","3175","","A. P. Fontana; L. Kollmann & K. A. brahim",2008,4,25,"Brazil","Espírito Santo","Atílio Vivácqua","Moitão do sul, Serra das Torres, Pedra do Coração",-21.342667,-41.203944,"Arbusto, ca. 1,5m, no sol. Látex translúcido. Flores verdes e frutos secos.","Croton vulnerarius Baill.","",,"GBIF"
"","Instituto de Botânica","SP","426963","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Cordeiro, I",2011,"","1574","","Shirasuna, RT",2008,7,22,"Brazil","São Paulo","Mauá","Lote 1 Rodoanel Mário Covas, Trecho Sul",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","Instituto de Botânica","SP","426239","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Cordeiro, I",2009,"","8260","","Búgola Silva, F; Garrido, CTR; Almeida Scabbia, RJ",2008,7,31,"Brazil","São Paulo","Santo André","Paranapiacaba, Trilha dos Jipeiros",-23.772044,-46.303867,,"Croton vulnerarius Baill.","",,"GBIF"
"","MNHN","P","P06800657","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.",,,"",,"","Búgola-Silva, F.|Almeida-Scabbia, R.J.|Garrido, C.T.R.",2008,7,31,"Brazil","São Paulo",,,-23.77194,-46.30361,,"Croton vulnerarius Baill.","",,"GBIF"
"","MNHN","P","P06800658","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.",,,"",,"","Búgola-Silva, F.|Almeida-Scabbia, R.J.|Garrido, C.T.R.",2008,7,31,"Brazil","São Paulo",,,-23.77194,-46.30389,,"Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB01225105","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R.F. Santos",,"","10","","M. Vitti",2008,10,18,"Brazil","São Paulo","Itararé","Estrada Municipal. SP - 258 para Bom Sucesso de Itararé. Município de Itararé, próximo a Fazenda Santana Anderia.",-24.35,-49.366667,,"Croton vulnerarius Baill.","",,"GBIF"
"","UNICAMP","UEC","149043","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.",,,"","49","","Aguirre, GH; et al.",2005,5,15,"Brazil","São Paulo","São Luiz do Paraitinga","Fragmento de Floresta Ombrófila Densa em paisagem rural",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","UFPR","UPCB","53054","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Cordeiro, I.",2009,"","554","","Possette, R.F.S.",2005,9,30,"Brazil","Paraná","Colombo",,,,"Floresta ombrófila mista..","Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB00325031","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","I. Cordeiro",2009,"","16","","Kaczmarczkyk, A.; et al",2004,1,15,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Orgãos, Vale do rio do frade. Parque Nacional da Serra dos Orgãos",-22.451944,-43.0125,"Árvore, 9m, DAP 14,3cm, flores albo esverdeadas, planta com cheiro desagradável, ramos, folahs e flores com pelos estrelados.","Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB00325090","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","I. Cordeiro",2009,"","534","","Reif da Paula, C.H.; Sattler, D., Adamek, M., Kaczmarczyk, A.",2004,1,15,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Vale do Rio Frade. Parque Nacional da Serra dos Órgãos",-22.451944,-43.0125,"Árvore, 10 m, DAP 28 cm, flores albo-esverdeadas, planta com cheiro desagradável, ramos, folhas e flores com pêlos estrelados.","Croton vulnerarius Baill.","",,"GBIF"
"","USP","SPF","164893","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Cordeiro, I; Caruzo, MBR",,"","2793","","Cordeiro, I",2004,1,15,"Brazil","São Paulo","São Paulo","Instituto de Botânica, Instituto de Botânica, Núcleo Lazer, próximo ao portão do Jardim Botânico.",-23.633333,-46.633333,"Arbusto crescendo à beira da mata, até 2.5 m alt.; flore estaminadas creme, botões ferrugíneos.","Croton vulnerarius Baill.","",,"GBIF"
"","Instituto de Botânica","SP","356408","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, MBR",2002,"","2771","","Catharino, ELM",2002,2,4,"Brazil","São Paulo","Cotia","Estrada para Grilos, próximo a entrada do Quilombo",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","Instituto de Botânica","SP","356407","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, MBR",2002,"","2770","","Catharino, ELM",2002,2,4,"Brazil","São Paulo","Cotia","estrada de Caucaia do Alto, próximo estrada dos Pereiras",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","USP","SPF","150991","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, MBR",2004,"","2763","","Cordeiro, I",2002,3,6,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó",-19.264111,-43.546667,"Rod. Belo Horizonte-Conceição do mato Dentro, km 117, mata ciliar perturbada do Córrego Três Pontes, junto à trecho desativado do antigo traçado da rodovia.; Arbuto ca. 3 m alt.; folhas verde-claras, deflexas; inflorescências 3-10 cm","Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB01223265","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","L.J.S. Pinto",,"","48","","A.A. Valente; W.G. da Silva; M.G. Santos",2002,4,21,"Brazil","Rio de Janeiro","Engenheiro Paulo de Frontin","Instituto Zoobotânico de Morro Azul (IZMA), Trilha dos Quatis",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","USP","SPF","166596","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, MBR",2005,"","s.n.","","Altoe, AM",2002,10,19,"Brazil","São Paulo","Franco da Rocha","Parque Estadual do Juquery",,,"Planta arbórea com flroes díclinas de pétalas amarelas.; Campo cerrado.","Croton vulnerarius Baill.","",,"GBIF"
"","Instituto de Botânica","SP","361017","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, MBR",2002,"","21","","Caruzo, MBR; et al.",2002,12,10,"Brazil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga, Instituto de Botânica. Trilha atrás dos prédios centrais.&nf;Floresta de planalto. N·cleo de lazer em frente ao portão do Jardim Botânico.",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","UEFS","HUEFS","173835","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.",,,"","5769","","Lima, H.C.de",2001,4,23,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Estrada do Maromba, próximo a ponte do Maromba.",-22.25,-44.566667,,"Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB00475815","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R.Riina",,"","5769","","H.C. de Lima; et al.",2001,4,23,"Brazil","Rio de Janeiro","Itatiaia","Parque  Nacional  de  Itatiaia.  Estrada  do  Maromba,  próximo  a  ponte  do  Maromba.",-22.25,-44.566667,"Arvoreta com 2,4m de altura. Folhas discolores face dorsal com indumento canescente ferrugineo, flores com cálice ferrugineo, pétalas alvo esverdeadas. Látex castanho avermelhado.Moita frequente na beira da estrada.","Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB01219646","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","L.J.S. Pinto",,"","1428","","M.G. Santos; L.J.S. Pinto; R.E. dos Santos; H.F. dos Santos",2000,9,2,"Brazil","Rio de Janeiro","Engenheiro Paulo de Frontin","Morro Azul, Instituto Zoobotânico de Morro Azul, trilha dos Quatis, próximo ao mirante",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","UNICAMP","UEC","125566","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, MBR",2009,"","00244","","Kinoshita, LS; Galvão, JC",2000,11,22,"Brazil","Minas Gerais","Santana do Riacho","Parque Nancional Serra do Cipó, Interior da mata, localizado próximo a Fazenda Alto Palácio",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","UFOP","OUPR","9045","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, M.B.R.",2006,"","95","","Nogueira, R.E.",1999,9,27,"Brazil","Minas Gerais","Ouro Preto","São Bartolomeu, APA da Cachoeira das Andorinhas",,,"Arbusto. Mata ciliar.","Croton vulnerarius Baill.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","49283","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.",,2006,"","s.n.","","Brina, AE",1998,5,,"Brazil","Rio de Janeiro","Paraty",,,,"Arbusto.; Mata atlântica, sub-bosque","Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB00675807","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","M.B.R. Caruzo",2016,"","1472","","M.G. Bovini; C. de Paula",1998,8,19,"Brazil","Minas Gerais","Raul Soares","Serra do Brigadeiro, Fazenda Neblina.",,,"Árvore cerca de 5 metros de altura, semi-heliófila. Folhas membranáceas, pilosas, discolores. Cálice piloso. Corola alva. Estames alvos.","Croton vulnerarius Baill.","",,"GBIF"
"","MBM","MBM","207431","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, MBR",,"","1677","","Ribas, OS",1997,2,19,"Brazil","Paraná","Jaguariaíva","Fazenda Barros",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","133666","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R. Riina",,"","741","","S. J. S. Neto",1996,5,31,"Brazil","Rio de Janeiro","ITATIAIA","Parque Nacional de Itatiaia. Estrada para o Abrigo Macieiras.",-22.466667,-44.75,,"Croton vulnerarius Baill.","",,"GBIF"
"","USP","SPF","205260","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Riina, R",2004,"","741","","Silva-Neto, SJ",1996,5,31,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, 22°15'00'' S, 44°34'00'' W / 22°28'00'' S, 44°45'00'' W.",-22.25,-44.566667,,"Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB00475614","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R.Riina",,"","741","","S.J.Silva Neto; et al",1996,5,31,"Brazil","Rio de Janeiro","Itatiaia","Parquer nacional de Itatiaia. Estrada para o Abrigo Macieiras.",-22.25,-44.566667,"Árvore heliófila, ca. 5,0m de altura, exsudato vináceo abundante, folhas breve breve discolores cartáceas, botões verde amarronzados, flores com cálice verde amarronzados e corola alva.","Croton vulnerarius Baill.","",,"GBIF"
"","NY","NY","02330238","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R. Riina",2004,"","741","","S. J. da Silva Neto",1996,5,31,"Brazil","Rio de Janeiro",,"Parque Nacional do Itatiaia, estrada para o abrigo Maceiras",-22.358,-44.658,,"Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB00475808","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R.Riina",,"","750","","S.J.Silva Neto; et al",1996,8,8,"Brazil","Rio de Janeiro","Itatiaia","Lago Azul, margem do rio Campo Belo.",-22.25,-44.566667,"Arbusto heliófilo, ca. 3,0m de altura, folhas discolores membranáceas, flores esverdeadas com estames amarelos, frutos imaturos verdes.","Croton vulnerarius Baill.","",,"GBIF"
"","MBM","MBM","279204","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, MBR",,"","29","","Souza, JP",1995,2,13,"Brazil","Paraná","Sengés","Estrada para Itararé - São Paulo",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","34028","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Souza, A",,"","s.n.","","Barnes",1995,6,30,"Brazil","Rio de Janeiro","Teresópolis",,,,"Arvore 10m; flores esverdeadas;; Mata Atlântica.","Croton vulnerarius Baill.","",,"GBIF"
"","MBM","MBM","275097","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Souza, A",,"","s.n.","","Barnes, R",1995,6,30,"Brazil","Rio de Janeiro","Teresópolis","Teresópolis",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","MBM","MBM","282903","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Souza, A",,"","s.n.","","Barnes, R",1995,6,,"Brazil","Rio de Janeiro","Teresópolis","Teresópolis",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","USP","SPF","106552","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Riina, R",2004,"","119","","Sano, PT",1995,6,3,"Brazil","São Paulo","Queluz",,,,"Fazenda Itaporan, em mata de Eucalyptus.; Arvoreta 5 m, DAP 6 cm. Folhas discolores. Toda a planta com tricomas castanhos. Cálice castanho-esverdeado, corola e estames creme.","Croton vulnerarius Baill.","",,"GBIF"
"","USP","SPF","155737","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Souza, A",1995,"","s.n.","","Barnes",1995,6,30,"Brazil","Rio de Janeiro","Teresópolis",,,,"Árvore ca. 10 m alt., flores esverdeadas.; Mata atlântica.","Croton vulnerarius Baill.","",,"GBIF"
"","Instituto de Botânica","SP","361735","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Souza, A",1995,"","s.n.","","Barnes",1995,6,30,"Brazil","Rio de Janeiro","Teresópolis","Mata Atlântica.",,,"Árvore","Croton vulnerarius Baill.","",,"GBIF"
"","UNICAMP","UEC","111757","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Cordeiro, I",,"","1279","","Cordeiro, I; Ferraz, DK",1994,3,24,"Brazil","São Paulo","São Paulo","Parque do Estado, Instituto de Botânica, trilha",,,"flor, Arvoreta ca. 4 m alt, flores estaminadas creme, frutos jovens amarelados","Croton vulnerarius Baill.","",,"GBIF"
"","MPEG","HERBMG","MG159246","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Cordeiro, I.",,"",,"","Cordeiro, I.; Ferraz, D.K.",1994,3,24,"Brazil","São Paulo",,"São Paulo",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","Instituto de Botânica","SP","269102","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Cordeiro, I",2003,"","1279","","Cordeiro, I; Ferraz, DK",1994,3,24,"Brazil","São Paulo","São Paulo","Parque do Estado, Instituto de Botânica, trilha",,,,"Croton vulnerarius Baill.","",,"GBIF"
"","Instituto de Botânica","SP","279773","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Cordeiro, I; Caruzo, MBR",2003,"","31464","","Martins, AB; et al.",1994,3,21,"Brazil","São Paulo","Águas da Prata","estrada para a Fazenda Retiro, ca. de 2 Km do centro de Águas da Prata. Na beira da mata.",-21.866667,-47.333333,,"Croton vulnerarius Baill.","",,"GBIF"
"","UNICAMP","UEC","84911","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, MBR",2004,"","6025","","Souza, VC; Miyagi, PH; Moncaio, E",1994,6,2,"Brazil","São Paulo","Itapeva","Ca 30 km de Bonsucesso de Itararé, em di",-24.25,-49.166667,"flor, Afloramento rochoso em área de plantação de Pinus. Abusto a arvoreta, até 3,5 m alt. látex avermelhado, tépalas castanho-claras, estames creme","Croton vulnerarius Baill.","",,"GBIF"
"","UEM","HUEM","5884","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","I. Cordeiro",2014,"","6025","","Souza, V.C.; P.H.Miyagi; E. Moncaico",1994,6,2,"Brazil","São Paulo","Itapeva","Ca. 30km de Bonsucesso de Itararé, Afloramento rochoso em área de plntação de Pinus.",-24.25,-49.166667,"Arbusto a arvoreta, até 3,5 m alt., látex avermelhado, tépalas castanho-claras, estames creme.","Croton vulnerarius Baill.","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","18501","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, M.B.R.",2004,"","6025","","Souza, V.C.",1994,6,2,"Brazil","São Paulo","Itapeva","Ca. 30 km de Bonsucesso de Itararé, em diração a Itapeva",-24.25,-49.166667,"Arbusto a arvoreta, até 3,5m alt.; látex avermelhado; tépalas castanho-claras; estames creme","Croton vulnerarius Baill.","",,"GBIF"
"","UNISANTA","HUSC","8608","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, M.B.R.",2004,"","6025","","Souza, V.C.; Miyagi, P.H.; Moncaio, E.",1994,6,2,"Brazil","São Paulo","Itapeva","Ca. 30km de Bonsucesso de Itararé, em direção à Itapeva",-24.25,-49.166667,"Arbusto a arvoreta, até 3,5m de alt., látex avermelhado, tépalas castanho-claras, estames creme; Afloramento rochoso em área de plantação de Pinus","Croton vulnerarius Baill.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","15811","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, M.B.R.",2004,"","6025","","Souza, V.C. et al.",1994,6,2,"Brazil","São Paulo","Itapeva",,,,,"Croton vulnerarius Baill.","",,"GBIF"
"","USP","SPF","103537","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Caruzo, MBR",2004,"","6025","","Souza, VC",1994,6,2,"Brazil","São Paulo","Itapeva",,-24.25,-49.166667,"Ca. 30 km de Bonsucesso de Itararé, em direção a Itapeva. Afloramento rochoso em área de plantação de Pinus.; Arbusto a arvoreta, até 3.5 m alt.; látex avermelhado; tépalas castanho-claras; estames creme.","Croton vulnerarius Baill.","",,"GBIF"
"","Instituto de Botânica","SP","279754","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Cordeiro, I; Caruzo, MBR",2003,"","6025","","Souza, VC; et al.",1994,6,2,"Brazil","São Paulo","Itapeva","ca. 30 Km de Bonsucesso de Itararé, em direção a Itapeva.&nf;Afloramento rochoso em área de plantação de Pinus.",-24.25,-49.166667,,"Croton vulnerarius Baill.","",,"GBIF"
"","JBRJ","RB","RB00475620","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R.Riina",,"","321","","S.J.Silva Neto; et al.",1994,9,21,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Macieiras, estrada para o Abrigo Lamego.",-22.25,-44.566667,"Árvore semi ciófila, ca. 5,0m de altura, folhas dicolores cartáceas, botões com indumento ferrugineo, frutos imaturos recobertos por pelos ferrugineos. Frequente.","Croton vulnerarius Baill.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","10513","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","Souza, V.C. et al.",,"","514","","Barreto, K.D. et al.",1993,5,19,"Brazil","São Paulo","Charqueada",,,,,"Croton vulnerarius Baill.","",,"GBIF"
"","MBML","MBML-HERBARIO","42888","Croton vulnerarius","","Euphorbiaceae","Croton","vulnerarius","","Baill.","R.F. Santos/IX-2016",,"","2306","","R. Guedes; et al",1993,11,8,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Trilha entre os abrigos Macieiras e Macena",-22.25,-44.583333,"Ocorrendo no caminho entre Macieiras e o abrigo Massena. Árvore ca 10m, ramos ferrugíneos, folhas discolores com face dorsal levemente argentea, inflorescências com raque esverdeada e pelos ferrugíneos, flor feminina com sépalas verdes","Croton vulnerarius Baill.","",,"GBIF"
