"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","FZB-BH","BHZB","12531","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack",,,"","1699","","Ferreira Junior, C.A. et al.",2019,2,17,"Brazil","Mg","Grão Mogol","Parque Estadual de Grão Mogol, Caminho para a cachoeira Véu da Noiva",,,"Unicata.Folhas discolores","Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
"","UFU","HUFU","78762","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack","Barbosa, B.D.; Silva, R.P.",2019,"","9068","","Romero, R.; Lopes A.G.; Barbosa, B. .D. & Queiroz, L N L",2019,4,23,"Brazil","Minas Gerais","Diamantina","Estrada Diamantina - Conselheiro da Mata, MG 220",-19.066111,-43.706944,"Árvore, ca. 2m. Hipanto e sépalas acastanhados; corola rósea; estames com anteras amarelas; filetes róseos.; Próximo aos Eucalipitos; campo rupestre.","Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
"","UFU","HUFU","79221","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack","Romero, R.",2019,"","235","","Dias, A.G.; Cantarim, G.F.; Oliveira Filho, L.A. & Silva, R.P.",2019,4,23,"Brazil","Minas Gerais","Diamantina","Estrada Diamantina - Conselheiro Mata, MG 220, Km 187, próximo a grande inselberg",-19.066111,-43.706944,"Árvore 2m, corola rosa claro e anteras amarelas; Campo rupestre","Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
"","UFU","HUFU","75166","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack","Duarte, D.V.",2017,"","52","","Justino, G.S.; Rodrigues, G.F.; Morigi, R.L. & Dias, A.G.",2017,10,18,"Brazil","Mg","Diamantina","Parque Estadual do Biriri, cachoeira sentinela. Próximo a cachoeira.",,,"Árvore, ca 3 m, frutos marrons; Campo rupestre","Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
"","JBRJ","RB","RB01337986","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack","R.C.FORZZA",2018,"","19231","","G.Martinelli; T.Lima, L.Moraes",2016,3,21,"Brazil","Minas Gerais","Diamantina","campos rupestres, acima da Cachoeira do Crioulo. campos rupestres. Parque Estadual do Rio Preto",-18.145555,-43.370556,"arbusto áfilo; 1,40m, heliófila; flores com calice ferrugíneo, corola alva com nuances lilás, filetes alvacentos, anteras amarelas; botões florais ferrugíneos; frutos imaturos ferrugíneos.","Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
"","JBRJ","RB","RB01315171","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack","J.E.Q. Faria",,"","5961","","J.E.Q. Faria",2016,6,4,"Brazil","Minas Gerais","Diamantina","Margem da estrada para a Formação",-18.261667,-43.608889,,"Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","3918","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack","Faria, JEQ",2016,"","5961","","Faria, JEQ",2016,6,4,"Brazil","Minas Gerais","Diamantina","Margem da estrada para a Formação",-18.261667,-43.608889,,"Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
"","UFU","HUFU","73604","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack","Faria, J.E.Q.",,"","5961","","Faria, J.E.Q.",2016,6,4,"Brazil","Minas Gerais","Diamantina","Margem da estrada para formação",-18.261667,-43.608889,"Arvoreta ca. 3m de altura, frutos imaturos marrons; Campo rupestre, crescendosobre rocha","Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
"","UFPR","UPCB","82658","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack","Goldenberg, R.",2015,"","7041","","Verdi, M.",2014,2,13,"Brazil","Minas Gerais","Diamantina","Ao longo da MG - 220, em direção a Conselheiro Mata a partir de Diamantina.",-18.296,-43.738,"Folhas verdes, discolores, abaxial ferruginosa; flor rosa; frequente; encontrada em afloramento de rocha em inselberg; na área encontra-se gado e no entorno observa-se estradas, plantios de eucalipto e linhas de transmissão elétrica.","Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
"","JBRJ","RB","RB01045046","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack","J.F.A.BAUMGRATZ & L.P.G.ROSA",2016,"","18177","","G.Martinelli; E.Martins, N.Pougy, D.Maurenza, M.Verdi",2014,2,11,"Brazil","Minas Gerais","Diamantina","Vila de Galheiros. Campos rupestres sobre afloramentos rochosos.",-18.270556,-43.7975,"arvoreta, 2,40m, heliófila, saxícola; folhas na face ventral verde, face dorsal amarela-ferrugíneo; inflorescencia ferrugínea; flores em botões de cor ferrugíneo.","Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
"","JBRJ","RB","RB00842515","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack","R. Goldenberg",,"","7041","","M. Verdi; N. Pougy, G. Martinelli, D. Maurenza, E. Martins",2014,2,13,"Brazil","Minas Gerais","Diamantina","Ao longo da MG - 220, em direção a Conselheiro Mata a partir de Diamantina.",-18.296111,-43.7375,"Folhas verdes, discolores, abaxial ferruginosa; flor rosa; frequente; encontrada em afloramento de rocha em inselberg; na área encontra-se gado e no entorno observa-se estradas, plantios de eucalipto e linhas de transmissão elétrica","Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
"","NY","NY","02721390","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack",,,"","18177","","G. Martinelli",2014,2,11,"Brazil","Minas Gerais",,"Vila de Galheiros. Campos rupestres sobre afloramentos rochosos",-18.2706,-43.7975,,"Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
"","UFU","HUFU","62375","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack","Romero, R.",2012,"","8543","","Romero, R.; et al.",2012,3,14,"Brazil","Minas Gerais","Diamantina","Estrada Conselheiro Mata, ca. de 30 km da cidade de Diamantina",,,"Arvoreta ca. de 2m. Cálice ferrugineo, corola alva com lobos arroxeados, anteras amarelas, filetes e pistilo arroxeados.; campo rupestre.","Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
"","UFU","HUFU","62320","Merianthera sipolisii","","Melastomataceae","Merianthera","sipolisii","","(Glaz. & Cogn.) Wurdack","Romero, R.",2012,"","74","","Versiane, A.F.A.; et al.",2012,3,13,"Brazil","Minas Gerais","Diamantina","Estrada Conselheiro Mata, ca. 10km de Diamantina",,,"Arvoreta ca. 20. Cálice ferrugíneo. Corola rósea. Estames menores brancos, apêndices dorsais amarelos; estames menores com anteras roxas e apêncies ventrais brancos.; Afloramento rochoso.","Merianthera sipolisii (Glaz. & Cogn.) Wurdack","",,"GBIF"
